;$T_{umg}$ in °C;$P_{el}$ in kW
0;-4.799994;0.1248371
1;-4.1263103;0.1248371
2;-3.452627;0.1248371
3;-2.7789433;0.1248371
4;-2.1052597;0.1248371
5;-1.4315761;0.1248371
6;-0.75789255;0.1248371
7;-0.08420895;0.1248371
8;0.5894746;0.1248371
9;1.2631582;0.1248371
10;1.9368418;0.1248371
11;2.6105254;0.1248371
12;3.284209;0.1248371
13;3.9578924;0.1248371
14;4.631576;0.1248371
15;5.3052597;0.1248371
16;5.9789433;0.1248371
17;6.652627;0.1248371
18;7.3263106;0.1248371
19;7.999994;0.1248371
20;-4.799994;0.3486627
21;-4.1263103;0.3486627
22;-3.452627;0.3486627
23;-2.7789433;0.3486627
24;-2.1052597;0.3486627
25;-1.4315761;0.3486627
26;-0.75789255;0.3486627
27;-0.08420895;0.3486627
28;0.5894746;0.3486627
29;1.2631582;0.3486627
30;1.9368418;0.3486627
31;2.6105254;0.3486627
32;3.284209;0.3486627
33;3.9578924;0.3486627
34;4.631576;0.3486627
35;5.3052597;0.3486627
36;5.9789433;0.3486627
37;6.652627;0.3486627
38;7.3263106;0.3486627
39;7.999994;0.3486627
40;-4.799994;0.57248837
41;-4.1263103;0.57248837
42;-3.452627;0.57248837
43;-2.7789433;0.57248837
44;-2.1052597;0.57248837
45;-1.4315761;0.57248837
46;-0.75789255;0.57248837
47;-0.08420895;0.57248837
48;0.5894746;0.57248837
49;1.2631582;0.57248837
50;1.9368418;0.57248837
51;2.6105254;0.57248837
52;3.284209;0.57248837
53;3.9578924;0.57248837
54;4.631576;0.57248837
55;5.3052597;0.57248837
56;5.9789433;0.57248837
57;6.652627;0.57248837
58;7.3263106;0.57248837
59;7.999994;0.57248837
60;-4.799994;0.79631394
61;-4.1263103;0.79631394
62;-3.452627;0.79631394
63;-2.7789433;0.79631394
64;-2.1052597;0.79631394
65;-1.4315761;0.79631394
66;-0.75789255;0.79631394
67;-0.08420895;0.79631394
68;0.5894746;0.79631394
69;1.2631582;0.79631394
70;1.9368418;0.79631394
71;2.6105254;0.79631394
72;3.284209;0.79631394
73;3.9578924;0.79631394
74;4.631576;0.79631394
75;5.3052597;0.79631394
76;5.9789433;0.79631394
77;6.652627;0.79631394
78;7.3263106;0.79631394
79;7.999994;0.79631394
80;-4.799994;1.0201396
81;-4.1263103;1.0201396
82;-3.452627;1.0201396
83;-2.7789433;1.0201396
84;-2.1052597;1.0201396
85;-1.4315761;1.0201396
86;-0.75789255;1.0201396
87;-0.08420895;1.0201396
88;0.5894746;1.0201396
89;1.2631582;1.0201396
90;1.9368418;1.0201396
91;2.6105254;1.0201396
92;3.284209;1.0201396
93;3.9578924;1.0201396
94;4.631576;1.0201396
95;5.3052597;1.0201396
96;5.9789433;1.0201396
97;6.652627;1.0201396
98;7.3263106;1.0201396
99;7.999994;1.0201396
100;-4.799994;1.2439651
