;0
0.0;4.223703846429169e-06
1.0;4.3199298989770065e-06
2.0;4.4642595707514794e-06
3.0;4.58723177569651e-06
4.0;4.6561956218702735e-06
5.0;4.670462278899726e-06
6.0;4.687854156651556e-06
7.0;4.713759833727469e-06
8.0;4.713806939117497e-06
9.0;4.485289742401907e-06
10.0;4.2221790103280684e-06
11.0;4.347153606716002e-06
12.0;4.323808861110672e-06
13.0;4.333968214759437e-06
14.0;4.346176627133965e-06
15.0;4.3622592665730025e-06
16.0;4.383528690059868e-06
17.0;4.394364815785409e-06
18.0;4.364078608143324e-06
19.0;4.315140614673895e-06
20.0;4.2798316626506365e-06
21.0;4.250453383863114e-06
22.0;4.226173964143397e-06
23.0;4.2193217464475175e-06
24.0;4.234516360104664e-06
25.0;4.282512454349787e-06
26.0;4.370697537242943e-06
27.0;4.471152327682123e-06
28.0;4.564370037033494e-06
29.0;4.618870248715606e-06
30.0;4.671252603075431e-06
31.0;3.894455609578812e-06
32.0;4.172857284669697e-06
33.0;4.141289798504756e-06
34.0;4.149572085079693e-06
35.0;4.136344004210302e-06
36.0;4.126034398741987e-06
37.0;4.135760178130424e-06
38.0;4.1848426243549184e-06
39.0;4.1631815016261224e-06
40.0;4.07026452270468e-06
41.0;3.907128082789551e-06
42.0;3.7160811739814656e-06
43.0;3.594652272630719e-06
44.0;3.521465510306403e-06
45.0;3.4778133883089085e-06
46.0;3.4778892046523543e-06
47.0;3.4835627601549575e-06
48.0;3.4668184803046863e-06
49.0;3.4023180512453287e-06
50.0;3.266465731973943e-06
51.0;3.0611007560986217e-06
52.0;2.825789237644437e-06
53.0;2.6332559082198017e-06
54.0;2.59225068896159e-06
55.0;2.7606738745401813e-06
56.0;3.0528793771696332e-06
57.0;3.249380058467427e-06
58.0;3.463281998641389e-06
59.0;3.4742880983925453e-06
60.0;4.057020724934856e-06
61.0;3.9772180435362e-06
62.0;3.925932843938481e-06
63.0;3.937203607645355e-06
64.0;3.7844549227424342e-06
65.0;3.6057962130761046e-06
66.0;3.601251831100893e-06
67.0;3.7906654775827866e-06
68.0;3.902578982997621e-06
69.0;3.6014907464403824e-06
70.0;3.2105173388291203e-06
71.0;2.9768402943310674e-06
72.0;2.9316259520362836e-06
73.0;2.829587890685431e-06
74.0;2.670542108717975e-06
75.0;2.5977376416804438e-06
76.0;2.5704125128607575e-06
77.0;2.5972033608175374e-06
78.0;2.6707915347449713e-06
79.0;2.642588706045006e-06
80.0;2.6636893702813896e-06
81.0;2.7933567094259388e-06
82.0;2.9515397688877946e-06
83.0;3.065617417075447e-06
84.0;3.2241133908817285e-06
85.0;3.3878356095630786e-06
86.0;3.552755276656721e-06
87.0;3.7048307006080126e-06
88.0;3.8445826119969045e-06
89.0;3.973356981092818e-06
90.0;4.069340428594851e-06
91.0;4.042199190788766e-06
92.0;3.982486916561702e-06
93.0;3.900672471511132e-06
94.0;3.8132963865604302e-06
95.0;3.754619538312822e-06
96.0;3.68871465880051e-06
97.0;3.5903720953888716e-06
98.0;3.4821083726441833e-06
99.0;3.437165292743603e-06
100.0;3.374771713796222e-06
101.0;3.1650939807451126e-06
102.0;3.038238606017413e-06
103.0;3.059441010758703e-06
104.0;3.148657143882469e-06
105.0;3.3657168047030223e-06
106.0;3.508570881472525e-06
107.0;3.748760201147205e-06
108.0;4.269068906384752e-06
109.0;4.171367092494396e-06
110.0;4.118742682278015e-06
111.0;4.113698936686753e-06
112.0;4.147293930055885e-06
113.0;4.211974068684521e-06
114.0;4.309235087942351e-06
115.0;4.4321342886844096e-06
116.0;4.574498735342186e-06
117.0;4.562545395894682e-06
118.0;4.313934420404689e-06
119.0;3.8377650643678345e-06
120.0;3.5496172087413626e-06
121.0;3.5188517152111384e-06
122.0;3.575875090634148e-06
123.0;3.5142817811156626e-06
124.0;3.3745331968812194e-06
125.0;3.160350633981687e-06
126.0;2.9371640236286683e-06
127.0;3.1799057039452387e-06
128.0;3.118848991255157e-06
129.0;3.1860141003173476e-06
130.0;3.3146501820808524e-06
131.0;3.387933920730806e-06
132.0;3.5086697649832024e-06
133.0;3.7025225300581805e-06
134.0;3.937799250893148e-06
135.0;4.05690099921164e-06
136.0;4.078738672300549e-06
137.0;3.854374087169146e-06
138.0;3.606677467843494e-06
139.0;3.499612338284676e-06
140.0;3.4443849567075385e-06
141.0;3.4321550570855383e-06
142.0;3.4375690258091952e-06
143.0;3.4312006674096673e-06
144.0;3.381907088475885e-06
145.0;3.237858088186215e-06
146.0;3.063484498371319e-06
147.0;2.9615518989398702e-06
148.0;2.9579743315180454e-06
149.0;3.085476046927073e-06
150.0;3.3229965330251884e-06
151.0;3.4632699772594464e-06
152.0;3.5840816421220183e-06
153.0;3.7803566080869657e-06
154.0;3.842766504217279e-06
155.0;3.597581332370605e-06
156.0;3.863508608234838e-06
157.0;3.7974616024960376e-06
158.0;3.7546158421208382e-06
159.0;3.697774266617561e-06
160.0;3.5411309267885225e-06
161.0;3.215035600894081e-06
162.0;2.987789652464954e-06
163.0;3.1378224339757267e-06
164.0;3.7902627415022586e-06
165.0;4.546423400764327e-06
166.0;4.3662627244019696e-06
167.0;3.7768381277024587e-06
168.0;3.7916318696440535e-06
169.0;3.464880470778773e-06
170.0;3.034682848217532e-06
171.0;2.764446541146353e-06
172.0;2.899204631814491e-06
173.0;3.3334708584962735e-06
174.0;3.3596542484132147e-06
175.0;3.311227797100444e-06
176.0;3.237648062410077e-06
177.0;3.153976941111933e-06
178.0;3.133706581963094e-06
179.0;3.1506707393471713e-06
180.0;3.2131400867875498e-06
181.0;3.2839147124347227e-06
182.0;3.377271015215301e-06
183.0;3.5131640452990878e-06
184.0;3.5267266394349326e-06
185.0;3.503654835368672e-06
186.0;3.472594048628642e-06
187.0;3.477498134208997e-06
188.0;3.4791818185224025e-06
189.0;3.366273401280477e-06
190.0;3.265960113758557e-06
191.0;3.2211592373539306e-06
192.0;3.20426076039111e-06
193.0;3.198547353396666e-06
194.0;3.1753680484187695e-06
195.0;3.091384967631057e-06
196.0;2.972524891486801e-06
197.0;2.854836547444011e-06
198.0;2.7718513062645185e-06
199.0;2.7847684971254494e-06
200.0;2.9002336019520837e-06
201.0;3.0818487052765133e-06
202.0;3.298356967495901e-06
203.0;3.0962608625226426e-06
204.0;3.6896362896734946e-06
205.0;3.660764512901437e-06
206.0;3.6520843113878887e-06
207.0;3.6699914382316725e-06
208.0;3.7155022779429225e-06
209.0;3.7869696839480727e-06
210.0;3.8794458438147805e-06
211.0;3.992541533727444e-06
212.0;4.1270534039449604e-06
213.0;4.288762197021328e-06
214.0;4.4449847883555566e-06
215.0;4.502546194081289e-06
216.0;4.450501278103481e-06
217.0;4.342250530751762e-06
218.0;4.155116723898255e-06
219.0;3.885861720818412e-06
220.0;3.5977973477192863e-06
221.0;3.367464620975453e-06
222.0;3.190327823728472e-06
223.0;3.1610048577114175e-06
224.0;2.954392431909631e-06
225.0;2.803201120806699e-06
226.0;2.7200538174006293e-06
227.0;2.7455718051116916e-06
228.0;2.835291011718236e-06
229.0;2.9180510654915433e-06
230.0;3.028832838508738e-06
231.0;3.2032254741135663e-06
232.0;3.39369243540566e-06
233.0;3.5297081346219915e-06
234.0;3.550617940014164e-06
235.0;3.586148727364052e-06
236.0;3.6057885155791853e-06
237.0;3.561607425992376e-06
238.0;3.4798837778933367e-06
239.0;3.4021018615441516e-06
240.0;3.34319016812284e-06
241.0;3.2975700739163424e-06
242.0;3.2644215331799523e-06
243.0;3.227529253825856e-06
244.0;3.1567389892977216e-06
245.0;3.0192093205942056e-06
246.0;2.838436533771905e-06
247.0;2.6937996337567687e-06
248.0;2.6597529211865274e-06
249.0;2.72736031081127e-06
250.0;2.935533482709941e-06
251.0;3.2252710594775568e-06
252.0;3.386417973059532e-06
253.0;3.55894122502226e-06
254.0;3.656876721180586e-06
255.0;3.618739402676439e-06
256.0;3.509444915157943e-06
257.0;3.3719413227717262e-06
258.0;3.2654416675905727e-06
259.0;3.2164769977837527e-06
260.0;3.2373179943751773e-06
261.0;3.1793950499484073e-06
262.0;3.0983264271455104e-06
263.0;2.968385552874352e-06
264.0;2.8152795431488055e-06
265.0;2.6569599863012435e-06
266.0;2.57967678610217e-06
267.0;2.67033943291613e-06
268.0;2.9692222952396756e-06
269.0;3.2443835310380782e-06
270.0;3.490857412447818e-06
271.0;3.6625875075948166e-06
272.0;3.6736953630911063e-06
273.0;3.6228519976833996e-06
274.0;3.526002518913839e-06
275.0;3.429667426569845e-06
276.0;3.3870449201818713e-06
277.0;3.4049642421623687e-06
278.0;3.452353366866164e-06
279.0;3.4754942057882947e-06
280.0;3.442236773987237e-06
281.0;3.339888443888328e-06
282.0;3.1843933132218364e-06
283.0;2.9921433350199166e-06
284.0;2.8455463577927217e-06
285.0;2.8867178133317976e-06
286.0;3.128822509748739e-06
287.0;3.507415715628406e-06
288.0;3.898409058053455e-06
289.0;4.209891213734835e-06
290.0;4.361136112369082e-06
291.0;4.2833711197139085e-06
292.0;4.11364158585945e-06
293.0;3.983479933379305e-06
294.0;3.92334444240679e-06
295.0;3.988093343607481e-06
296.0;4.171819528530552e-06
297.0;4.170538608143661e-06
298.0;4.119217743574683e-06
299.0;4.202956318062051e-06
300.0;4.294333945955406e-06
301.0;4.232382298926726e-06
302.0;4.066017411810591e-06
303.0;3.7780027475290657e-06
304.0;3.453374246431815e-06
305.0;3.5113227580137612e-06
306.0;2.670256279419073e-06
307.0;3.1425600398753414e-06
308.0;3.54140132932934e-06
309.0;3.508384972927423e-06
310.0;3.5210201590210994e-06
311.0;3.655145798929469e-06
312.0;3.8030050731252384e-06
313.0;3.830120221818376e-06
314.0;3.7937651133780507e-06
315.0;3.7763126453663737e-06
316.0;3.728377285093317e-06
317.0;3.713578201136607e-06
318.0;3.6956607173531833e-06
319.0;3.725819252131251e-06
320.0;3.847743409416516e-06
321.0;3.969355812360381e-06
322.0;3.9137680740303955e-06
323.0;3.859932896847708e-06
324.0;3.8009317830325003e-06
325.0;3.6657651559710043e-06
326.0;3.490726219577605e-06
327.0;3.3286964527857406e-06
328.0;3.2426720873725204e-06
329.0;3.275985636391213e-06
330.0;3.442551225920695e-06
331.0;3.725130107534901e-06
332.0;4.002265766517519e-06
333.0;4.18173750632934e-06
334.0;4.244559212684258e-06
335.0;4.186924681923998e-06
336.0;4.0424086122169674e-06
337.0;3.870786363680278e-06
338.0;3.7507032304493827e-06
339.0;3.742480106164459e-06
340.0;3.839138940962698e-06
341.0;3.9388317206996816e-06
342.0;3.865652447459189e-06
343.0;3.843766733346316e-06
344.0;3.8091307345968787e-06
345.0;3.6954016024066947e-06
346.0;3.5767171573562213e-06
347.0;3.909681075764414e-06
348.0;3.925176302019203e-06
349.0;3.934329860844012e-06
350.0;3.940286585607609e-06
351.0;3.947496618257664e-06
352.0;3.95692472403553e-06
353.0;3.9747049389088835e-06
354.0;4.002120129589092e-06
355.0;4.062654101836078e-06
356.0;4.1420370216310055e-06
357.0;4.211364478857411e-06
358.0;4.279202551756283e-06
359.0;4.324601564837647e-06
360.0;4.36677759701039e-06
361.0;4.431996514845761e-06
362.0;4.4960102496665176e-06
363.0;4.5451900385428064e-06
364.0;4.602330440816074e-06
365.0;4.6538821796910775e-06
366.0;4.681001810257749e-06
367.0;3.8073815512705125e-06
368.0;3.996522962300379e-06
369.0;3.893532560656894e-06
370.0;3.832054591333582e-06
371.0;3.8137148848531708e-06
372.0;3.836126615940664e-06
373.0;3.898323620493615e-06
374.0;3.992329496475226e-06
375.0;4.086994916817294e-06
376.0;4.2113710694895054e-06
377.0;4.160747366193065e-06
378.0;4.062466220721921e-06
379.0;3.941057833599894e-06
380.0;3.807939190694127e-06
381.0;3.6876046343450585e-06
382.0;3.617251124976557e-06
383.0;3.6166525726627558e-06
384.0;3.6476014028172985e-06
385.0;3.6648337352640813e-06
386.0;3.646916504421771e-06
387.0;3.593018835553716e-06
388.0;3.500119888225707e-06
389.0;3.392174970071002e-06
390.0;3.3286505919751624e-06
391.0;3.3540896923162813e-06
392.0;3.4833795009243693e-06
393.0;3.731446841358283e-06
394.0;3.9492751072085624e-06
395.0;3.580207485856153e-06
396.0;3.906868784372315e-06
397.0;3.9051385036869044e-06
398.0;3.93491888544817e-06
399.0;4.014622138534366e-06
400.0;4.1170812214529105e-06
401.0;4.209396713917497e-06
402.0;4.272701728531888e-06
403.0;4.303753572061409e-06
404.0;4.331207127391211e-06
405.0;4.359019469195489e-06
406.0;4.392637002342783e-06
407.0;4.442854990447294e-06
408.0;4.511524962618634e-06
409.0;4.6026952876669744e-06
410.0;4.696298410707937e-06
411.0;4.759749052261153e-06
412.0;4.81587398621957e-06
413.0;4.904584842203541e-06
414.0;4.991713852620947e-06
415.0;4.2865871548103975e-06
416.0;4.503711118335479e-06
417.0;4.356943205680323e-06
418.0;4.261803741036347e-06
419.0;4.290923199861592e-06
420.0;4.369633719687531e-06
421.0;4.378764596418957e-06
422.0;4.430029639417591e-06
423.0;4.5625788542151835e-06
424.0;4.55068264357963e-06
425.0;4.470196239545603e-06
426.0;4.3450301520932575e-06
427.0;4.2621651769968675e-06
428.0;4.1749885319831205e-06
429.0;4.014718928060529e-06
430.0;3.9334338100090725e-06
431.0;3.959379013761451e-06
432.0;3.998942538271623e-06
433.0;3.996106244723772e-06
434.0;3.923252473241844e-06
435.0;3.7699790575471194e-06
436.0;3.5570651120399565e-06
437.0;3.3065513843700103e-06
438.0;3.090657634686433e-06
439.0;2.9870789082827153e-06
440.0;3.0963280934719583e-06
441.0;3.475102865823928e-06
442.0;3.613834976703593e-06
443.0;3.094543737504557e-06
444.0;3.7263481307158213e-06
445.0;3.6888990033958543e-06
446.0;3.662178265544036e-06
447.0;3.6612156085672902e-06
448.0;3.6901553110283244e-06
449.0;3.7394158955080447e-06
450.0;3.8042966577258706e-06
451.0;3.87630373677054e-06
452.0;3.9676317957114714e-06
453.0;4.072653918920059e-06
454.0;4.181823790741013e-06
455.0;4.30152481177093e-06
456.0;4.361015189005459e-06
457.0;4.266239793621018e-06
458.0;4.031111827604507e-06
459.0;3.697744242407e-06
460.0;3.313104891512863e-06
461.0;2.9232778099239087e-06
462.0;2.638678631637167e-06
463.0;2.4777185548337135e-06
464.0;2.3612757772853182e-06
465.0;2.342736706890059e-06
466.0;2.427820589667415e-06
467.0;2.5901405246876625e-06
468.0;2.838695651484797e-06
469.0;3.147969494757862e-06
470.0;3.4533059292702465e-06
471.0;3.6575369887493405e-06
472.0;3.835095445289193e-06
473.0;4.0576500820627974e-06
474.0;4.259957008672428e-06
475.0;4.3295727083397565e-06
476.0;4.317703060444738e-06
477.0;4.307672873951775e-06
478.0;4.312801899106385e-06
479.0;4.345569895293205e-06
480.0;4.262194481271975e-06
481.0;4.257252234478992e-06
482.0;4.263369742232372e-06
483.0;4.1915889758623974e-06
484.0;4.112302047928003e-06
485.0;4.035148058851135e-06
486.0;3.964475568992113e-06
487.0;3.956237250072724e-06
488.0;3.966022503914652e-06
489.0;3.992854355012727e-06
490.0;3.9405366414472e-06
491.0;4.713698007188675e-06
492.0;4.692765799563965e-06
493.0;4.5997998389626445e-06
494.0;4.622903645169554e-06
495.0;4.782921671053234e-06
496.0;4.954235542031683e-06
497.0;5.0364712448030705e-06
498.0;5.1550534306817716e-06
499.0;5.083062714811895e-06
500.0;4.745920420148796e-06
501.0;4.215623172563335e-06
502.0;3.0916991943571034e-06
503.0;2.5306102921316882e-06
504.0;3.0946782725506605e-06
505.0;4.0808204529477655e-06
506.0;4.3920208898758595e-06
507.0;3.7733016549336177e-06
508.0;2.562138648781373e-06
509.0;3.0306421458161426e-06
