;delta_reaTZon_y
0;0.152655693
1;0.13263261
2;0.116048869
3;0.101689867
4;0.095497286
5;0.082054663
6;0.069327871
7;0.056392407
8;-0.005138315
9;0.048209377
10;0.053926407
11;0.069915709
12;0.067341102
13;0.06412057
14;0.069829715
15;0.077609952
16;0.074676723
17;0.07029683
18;0.085973806
19;0.10160245
20;0.097343694
21;0.092324699
22;0.094261767
23;0.103834122
24;0.130577699
25;0.136331107
26;0.101887174
27;0.072617311
28;0.013033572
29;0.01281885
30;-0.044043145
31;-0.192453038
32;-0.295819904
33;-0.312239473
34;-0.235660151
35;-0.254328676
36;-0.241547316
37;-0.228782641
38;-0.12206911
39;-0.105749684
40;-0.09679138
41;-0.065498052
42;-0.032383209
43;0.004884585
44;0.047627578
45;0.087076027
46;0.124121644
47;0.146474106
48;0.150543542
49;0.140300155
50;0.118117306
51;0.085814483
52;0.052598415
53;0.007895973
54;-0.048032432
55;-0.125525137
56;-0.239382441
57;-0.198944302
58;-0.055796131
59;0.122630137
60;0.209925806
61;0.236979799
62;0.248017775
63;0.280704795
64;0.352291378
65;0.389936696
66;0.402559745
67;0.391009196
68;0.318045725
69;0.174613916
70;0.029368303
71;-0.140782945
72;-0.265885382
73;-0.272195356
74;-0.209332297
75;-0.212201762
76;-0.206054526
77;-0.134806197
78;-0.151228446
79;-0.198249972
80;-0.18789721
81;-0.174126963
82;-0.094819668
83;-0.134221562
84;-0.1295879
85;-0.123255501
86;-0.116095684
87;-0.111687251
88;-0.107523353
89;-0.107019012
90;-0.053909458
91;-0.045959613
92;-0.04472025
93;-0.027902339
94;0.006582542
95;0.043466098
96;0.065733376
97;0.078171444
98;0.090230036
99;0.094135248
100;0.063060351
101;0.021678796
102;-0.00368842
103;-0.034982414
104;-0.130682438
105;-0.10728078
106;-0.01627205
107;0.154370706
108;0.2396174
109;0.255581253
110;0.271054043
111;0.277409613
112;0.262452821
113;0.246231347
114;0.233857838
115;0.222672389
116;0.20612517
117;0.173651398
118;0.093040741
119;-0.021454074
120;-0.098856234
121;-0.162669558
122;-0.196629481
123;-0.20658085
124;-0.208743706
125;-0.170018441
126;-0.188176255
