;0
0.0;-0.004601980710151277
1.0;-0.004602497542160772
2.0;-0.0045967546561216455
3.0;-0.004594911949378884
4.0;-0.0046013945121102014
5.0;-0.0046169605025458285
6.0;-0.004629294569529259
7.0;-0.004649237197171475
8.0;-0.004685109396825085
9.0;-0.004757733015661704
10.0;-0.004837406895172379
11.0;-0.00473052352684806
12.0;-0.004746636183662274
13.0;-0.004756285970077131
14.0;-0.004764900610760445
15.0;-0.0047736420364224265
16.0;-0.004782569793648725
17.0;-0.004792530425102428
18.0;-0.0048083590574333375
19.0;-0.0048291538619593365
20.0;-0.004849282185998977
21.0;-0.004867081328590091
22.0;-0.004882673162028801
23.0;-0.004895042048818071
24.0;-0.0049043128999647564
25.0;-0.004910352603720033
26.0;-0.004909531667457983
27.0;-0.004902872971879936
28.0;-0.004894451231333068
29.0;-0.004887282440610961
30.0;-0.004880363549859247
31.0;-0.005123262110680354
32.0;-0.004878359135020557
33.0;-0.004870980205193363
34.0;-0.004850941130788262
35.0;-0.004832543225898767
36.0;-0.004807823230264598
37.0;-0.004778440766891933
38.0;-0.004743196219074578
39.0;-0.004738571401245409
40.0;-0.004765148048624854
41.0;-0.004815455852370023
42.0;-0.004876939340422386
43.0;-0.00492215700720837
44.0;-0.004944112774996617
45.0;-0.004945493034033539
46.0;-0.004931374396814138
47.0;-0.00492040383213526
48.0;-0.004927268207097034
49.0;-0.0049595024721753745
50.0;-0.005017939859481729
51.0;-0.00508961044675599
52.0;-0.0051488326291272936
53.0;-0.005167754814863595
54.0;-0.005123482300250987
55.0;-0.005012787615163885
56.0;-0.0048791546315771804
57.0;-0.004836254509222853
58.0;-0.004793432303816665
59.0;-0.004996527629879862
60.0;-0.004818748034043272
61.0;-0.004857260241712133
62.0;-0.004892905926572112
63.0;-0.004919407362426973
64.0;-0.004951568008635941
65.0;-0.004970155298381802
66.0;-0.004955432033053966
67.0;-0.004902803937551345
68.0;-0.0048870947918075195
69.0;-0.004966970687732848
70.0;-0.005015656421929681
71.0;-0.004909213353231307
72.0;-0.004759144302244094
73.0;-0.004798109874425486
74.0;-0.004833692061348338
75.0;-0.00485349131186936
76.0;-0.0048672325665855476
77.0;-0.0049051835809024264
78.0;-0.004986316898101025
79.0;-0.00488154834021767
80.0;-0.004888327099085844
81.0;-0.004877399987029488
82.0;-0.004860759843038655
83.0;-0.004847129459945606
84.0;-0.004827437379524523
85.0;-0.004805792552262098
86.0;-0.0047827417445210916
87.0;-0.004760384426309325
88.0;-0.004738755559259153
89.0;-0.004717761753516788
90.0;-0.00470056600081054
91.0;-0.0047202032694339015
92.0;-0.004754352691123969
93.0;-0.004798838195983187
94.0;-0.004849551120953536
95.0;-0.004897751534509879
96.0;-0.004941842573866889
97.0;-0.004980194866365218
98.0;-0.005010290511330783
99.0;-0.005025576467821128
100.0;-0.005032517421964306
101.0;-0.005039316021775151
102.0;-0.0050208199117121296
103.0;-0.004975010582331823
104.0;-0.0049146037856307185
105.0;-0.004837400325328776
106.0;-0.004802271667397096
107.0;-0.004985665110926124
108.0;-0.004821149224979008
109.0;-0.004861677082018096
110.0;-0.004894849298603395
111.0;-0.004919068622944727
112.0;-0.004933467582651689
113.0;-0.004937763064812403
114.0;-0.004932589140144499
115.0;-0.0049194544388267755
116.0;-0.004899557114274521
117.0;-0.0049205207194832935
118.0;-0.004992088862161615
119.0;-0.005095672735941349
120.0;-0.005149713691497808
121.0;-0.0051295453733551325
122.0;-0.00507439571273373
123.0;-0.005034449368637384
124.0;-0.0050344403117357816
125.0;-0.005080631922245312
126.0;-0.005155386197643793
127.0;-0.004946321274678533
128.0;-0.004940693723927283
129.0;-0.004922209013032876
130.0;-0.004894141920836959
131.0;-0.004873205103708369
132.0;-0.004842499613978744
133.0;-0.004802661414375984
134.0;-0.004754381608168592
135.0;-0.004755900508489083
136.0;-0.004785876176911568
137.0;-0.00485362869752331
138.0;-0.004919943700086143
139.0;-0.00494948676776133
140.0;-0.004956557281272435
141.0;-0.004950157550685526
142.0;-0.004944411792861305
143.0;-0.004951604379165001
144.0;-0.004980658098151618
145.0;-0.005035362341261547
146.0;-0.00509489230149934
147.0;-0.005130408918624353
148.0;-0.005126867348670598
149.0;-0.005076775531848098
150.0;-0.004988428048769591
151.0;-0.004898227237390325
152.0;-0.004821299841012318
153.0;-0.004769223083399013
154.0;-0.0047725273889763975
155.0;-0.004871819368200945
156.0;-0.004760054451243933
157.0;-0.004788906537837819
158.0;-0.004817525032160725
159.0;-0.004857228801999286
160.0;-0.004902414056435337
161.0;-0.004953091485851691
162.0;-0.004982420830344851
163.0;-0.004956251841637149
164.0;-0.004843412865109756
165.0;-0.004689808161279481
166.0;-0.00474377080791313
167.0;-0.004831591702586925
168.0;-0.004669882802924249
169.0;-0.004682227670290047
170.0;-0.004765962983570241
171.0;-0.004835776001382048
172.0;-0.004891602034752845
173.0;-0.004919775679203885
174.0;-0.004938193663048427
175.0;-0.004941994059598764
176.0;-0.004938284284135884
177.0;-0.004930211090434303
178.0;-0.004915446479383165
179.0;-0.004902092118157252
180.0;-0.004880420347762438
181.0;-0.0048570495793172725
182.0;-0.004831464108638104
183.0;-0.004801803816071594
184.0;-0.004808465358046358
185.0;-0.004825066217234941
186.0;-0.004850213181893791
187.0;-0.004880546926290807
188.0;-0.004912818472270557
189.0;-0.0049587438701466065
190.0;-0.004995195845903151
191.0;-0.005013176271270366
192.0;-0.005020448961477116
193.0;-0.005025217323357099
194.0;-0.005036189778397904
195.0;-0.0050621042992967675
196.0;-0.005095954620012825
197.0;-0.005124954554216351
198.0;-0.005136215385002029
199.0;-0.005116751824354909
200.0;-0.005064456354512766
201.0;-0.004989134727724275
202.0;-0.004906444286973603
203.0;-0.005053981209238391
204.0;-0.004864070782412586
205.0;-0.004892182638123198
206.0;-0.0049191788768448
207.0;-0.004941423449829774
208.0;-0.004957736996568218
209.0;-0.004966998938865487
210.0;-0.00496923415801046
211.0;-0.004965132503638287
212.0;-0.004955690427287801
213.0;-0.004940291315943286
214.0;-0.004923783789799884
215.0;-0.004922231217550198
216.0;-0.004954429531013173
217.0;-0.005007419908965837
218.0;-0.005070988170280248
219.0;-0.005129060009193397
220.0;-0.00516302857973654
221.0;-0.005166116941861253
222.0;-0.005147159615876656
223.0;-0.004935430496015399
224.0;-0.004955131529516362
225.0;-0.004965260754233277
226.0;-0.004965713361900744
227.0;-0.004956912342854555
228.0;-0.0049408439893829795
229.0;-0.004921011687272198
230.0;-0.004897099612902624
231.0;-0.004867552935244005
232.0;-0.004833531402408879
233.0;-0.004801899499581899
234.0;-0.0048045999232624575
235.0;-0.004814850205867489
236.0;-0.004837024741289318
237.0;-0.004879666538366722
238.0;-0.004927198578751817
239.0;-0.004963858413462827
240.0;-0.004985114235873483
241.0;-0.0049947185153279925
242.0;-0.004999657008650553
243.0;-0.005009726230613833
244.0;-0.0050343474141369615
245.0;-0.005078352356229
246.0;-0.005128010254378885
247.0;-0.005157278818997149
248.0;-0.005148136845444266
249.0;-0.0050954959475647725
250.0;-0.004999405149776693
251.0;-0.0048818560141852835
252.0;-0.00483221872614127
253.0;-0.004794388345196162
254.0;-0.004787152883331786
255.0;-0.004827857890694229
256.0;-0.004889668362420142
257.0;-0.004952156010869782
258.0;-0.004996852524767824
259.0;-0.0050122845899850405
260.0;-0.005006285335080827
261.0;-0.0050229900276795225
262.0;-0.005054031555193292
263.0;-0.005092458464406112
264.0;-0.0051335164778265885
265.0;-0.0051624260730598415
266.0;-0.0051518622172976895
267.0;-0.005080107210800109
268.0;-0.004939903016931079
269.0;-0.0048648632524237
270.0;-0.004818125465706767
271.0;-0.004773717354695131
272.0;-0.0047950263186128115
273.0;-0.004848040935635847
274.0;-0.004907271158306165
275.0;-0.004951618851156423
276.0;-0.004966153876259208
277.0;-0.004954687224330497
278.0;-0.004933086673238811
279.0;-0.004922584095109962
280.0;-0.004937667568386999
281.0;-0.004982228120922252
282.0;-0.0050465603101761645
283.0;-0.0051128940331831236
284.0;-0.005150731968046516
