;0
1488.0;1.440353517358082e-06
1489.0;1.3283050050007019e-06
1490.0;1.2266787584472578e-06
1491.0;1.175315805566417e-06
1492.0;1.2114469927537047e-06
1493.0;1.341652840864723e-06
1494.0;1.4335060348161488e-06
1495.0;1.4880564730678937e-06
1496.0;1.5577505285980773e-06
1497.0;1.5864576392862225e-06
1498.0;1.5656859322266219e-06
1499.0;2.588538008320567e-06
1500.0;2.5236305423011832e-06
1501.0;2.4326288270678273e-06
1502.0;2.3607408877327812e-06
1503.0;2.3091631934146477e-06
1504.0;2.2957341377758254e-06
1505.0;2.3405379636435465e-06
1506.0;2.420945759264066e-06
1507.0;2.519299004887245e-06
1508.0;2.6371161360662047e-06
1509.0;2.699254967019727e-06
1510.0;2.576964010350968e-06
1511.0;2.3672981470393666e-06
1512.0;2.1066442527122064e-06
1513.0;1.866589780061462e-06
1514.0;1.749982625949764e-06
1515.0;1.704335579061132e-06
1516.0;1.581138895496195e-06
1517.0;1.4511906490312856e-06
1518.0;1.342314680780845e-06
1519.0;1.2760954593481431e-06
1520.0;1.246787378797569e-06
1521.0;1.2370319924789613e-06
1522.0;1.2452169416479642e-06
1523.0;1.2727851061282093e-06
1524.0;1.3170363313510865e-06
1525.0;1.34756680362353e-06
1526.0;1.3847059885329004e-06
1527.0;1.4447499967198965e-06
1528.0;1.504076442913541e-06
1529.0;1.5468166149772489e-06
1530.0;1.593292332548127e-06
1531.0;1.5751767921676383e-06
1532.0;1.5648081787830731e-06
1533.0;1.5931181203678335e-06
1534.0;1.6287316829482224e-06
1535.0;1.617162206221566e-06
1536.0;1.6099461709292924e-06
1537.0;1.6279049739479983e-06
1538.0;1.636458588927308e-06
1539.0;1.631498531140751e-06
1540.0;1.6130894142574972e-06
1541.0;1.5810160115546928e-06
1542.0;1.5438350913440483e-06
1543.0;1.5128898795243568e-06
1544.0;1.501888103257545e-06
1545.0;1.5073668055991646e-06
1546.0;1.5425491051996533e-06
1547.0;2.264222740011945e-06
1548.0;2.843467988062318e-06
1549.0;2.785082437531449e-06
1550.0;2.742557604492084e-06
1551.0;2.691810322931478e-06
1552.0;2.6766359857493877e-06
1553.0;2.7442522354529646e-06
1554.0;2.833136542395961e-06
1555.0;2.8168910130316464e-06
1556.0;2.6414698809016336e-06
1557.0;2.3620279443887163e-06
1558.0;2.0620617529945893e-06
1559.0;1.9128776228852713e-06
1560.0;1.9076687480846356e-06
1561.0;1.8025632346797752e-06
1562.0;1.6744423628146686e-06
1563.0;1.5740222190864663e-06
1564.0;1.5052477883161414e-06
1565.0;1.4661372067879584e-06
1566.0;1.443606469756866e-06
1567.0;1.4272189526682268e-06
1568.0;1.3987262112345114e-06
1569.0;1.296518771946374e-06
1570.0;1.2153013804132955e-06
1571.0;1.2101174197079313e-06
1572.0;1.2407957220361941e-06
1573.0;1.286762939841812e-06
1574.0;1.3379446361228804e-06
1575.0;1.3981208545336478e-06
1576.0;1.463911113715011e-06
1577.0;1.528295520901113e-06
1578.0;1.5380712665124732e-06
1579.0;1.5331459265708421e-06
1580.0;1.532982984836976e-06
1581.0;1.572275529990208e-06
1582.0;1.6246024733581396e-06
1583.0;1.6309115004797011e-06
1584.0;1.6212675664279754e-06
1585.0;1.5919504069888121e-06
1586.0;1.5331459265708421e-06
1587.0;1.4548677590928533e-06
1588.0;1.3747179303742848e-06
1589.0;1.3061379924091602e-06
1590.0;1.2861804159087087e-06
1591.0;1.3318525000987265e-06
1592.0;1.4277244933065354e-06
1593.0;1.5075877488348746e-06
1594.0;1.538648620611829e-06
1595.0;1.5459909855536147e-06
1596.0;1.5718959419931452e-06
1597.0;1.621002189729306e-06
1598.0;1.6868367868253969e-06
1599.0;1.7733790487948282e-06
1600.0;1.8237188999461547e-06
1601.0;1.756165224482548e-06
1602.0;1.621789632493636e-06
1603.0;1.4921450213483006e-06
1604.0;1.394722021415505e-06
1605.0;1.418792839537713e-06
1606.0;1.4887744108365318e-06
1607.0;1.5691920361498571e-06
1608.0;1.6553121096489634e-06
1609.0;1.7392837439368572e-06
1610.0;1.8242819241050352e-06
1611.0;1.9275848610406267e-06
1612.0;1.992260731979167e-06
1613.0;2.025694895626143e-06
1614.0;2.0710469896496385e-06
1615.0;2.1211791182967957e-06
1616.0;2.1714384497744013e-06
