$T_{umg}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heiz}$ in kW
-1.6999878;3.338178236;25.068365
-1.1000122;4.37752391;33.353314
-0.5000061;2.644189463;20.445131
-0.1999878;2.500954787;19.481946
-0.100012206;2.480032795;19.367133
-0.100012206;2.464633058;19.246873
0.7000061;2.682318394;21.373235
1.3999878;2.398705095;19.459955
1.8000122;2.601776467;21.328444
2.3999877;2.412763912;20.094595
2.4999938;2.285142482;19.08246
2.700006;2.523319045;21.184383
3.200006;1.963208877;16.70595
3.1;2.415330124;20.497578
2.800012;2.668900933;22.466844
2.800012;2.513548129;21.159082
2.6;2.755267614;23.069841
2.200006;2.501012612;20.719371
1.9999939;2.528151145;20.833958
2.200006;2.791374627;23.124844
2.1;2.807902014;23.200383
2.4999938;1.917256943;16.010371
2.300012;2.351367454;19.531325
2.300012;2.328112286;19.338159
2.1;2.368473935;19.569594
2.1;2.224608972;18.380905
2.1;2.157859707;17.829387
2.300012;2.233933105;18.555872
2.3999877;2.142024493;17.839754
2.6;2.177870733;18.2353
2.700006;2.208360825;18.540169
2.9999938;2.085985558;17.654764
3.1;2.099520917;17.817479
3.4999938;2.030628978;17.421681
3.700006;1.795353306;15.488016
3.700006;1.9662001;16.961864
4.1;2.09800414;18.300557
4.300012;1.821004118;15.973323
3.9999938;2.24790557;19.553653
4.499994;2.331676444;20.56801
4.8999877;2.266054664;20.216945
4.6;2.279612589;20.165556
4.6;2.250325265;19.906479
4.999994;2.289398732;20.483574
5.200006;2.659611462;23.932686
4.8999877;2.735483675;24.405026
4.999994;2.742582699;24.538275
4.999994;2.743241345;24.544168
4.999994;2.742432484;24.536931
4.999994;2.742321945;24.535942
4.800012;2.766504586;24.611682
4.800012;2.771080191;24.652388
4.8999877;2.762097476;24.642465
4.8999877;2.763781245;24.657487
4.800012;2.736488095;24.344646
4.700006;2.105842983;18.681157
4.6;1.860793567;16.460664
4.6;1.833742383;16.221368
4.499994;1.767554538;15.59182
4.300012;1.87344622;16.43333
4.3999877;2.063049077;18.147292
4.6;1.85626499;16.420604
4.999994;1.909144316;17.081384
5.200006;1.755102108;15.7934
5.499994;1.54322157;14.007529
5.300012;1.764379536;15.922641
4.6;1.804798601;15.96533
4.3999877;1.680649353;14.783572
3.800012;1.849469814;15.998941
2.9999938;1.504494689;12.733309
1.8999878;1.649265517;13.555573
1.1;1.863203915;14.999031
0.9999939;1.861893793;14.95005
2.800012;1.76963877;14.896843
2.9999938;1.766641299;14.95199
2.300012;1.866027813;15.499915
2.300012;1.697180865;14.09741
2.300012;1.795186387;14.91148
1.6;1.842302631;15.023882
1.2000061;2.344466245;18.9219
0.9999939;2.339486012;18.78487
1.3999878;2.281989826;18.51308
1.6;2.515081667;20.51036
1.8999878;2.483862375;20.415256
2.3999877;2.557803183;21.302548
2.700006;2.547343147;21.386076
2.300012;2.296123578;19.072449
2.3999877;1.972577453;16.428522
1.9999939;2.06389543;17.008125
2.1;2.083883724;17.218158
1.8000122;2.180568995;17.875534
1.6;2.30158576;18.769312
1.2000061;2.441392508;19.70418
0.7000061;1.902467337;15.15923
0.1;2.048005777;16.073509
-0.2999939;2.175558526;16.905118
-0.5000061;2.29324666;17.731607
-1.0000061;2.345668546;17.915756
-0.6000122;2.231136039;17.208868
-6.10E-06;2.143453241;16.780557
-6.10E-06;2.067102471;16.182826
-0.2999939;2.197428495;17.075058
-0.5000061;2.23473175;17.279164
-0.9;2.427979555;18.589775
-1.7999939;2.436771457;18.255385
-1.9;2.536537825;18.957442
-2.1000123;2.98856123;22.229636
-2.299994;3.236779602;23.96212
-2.299994;2.943709466;21.7925
-3.1000123;2.975573099;21.6195
-4.199988;2.76750176;19.607317
-4.799994;3.068736069;21.450331
-4.500006;2.887076548;20.316582
-3.799994;2.928785521;20.939482
-3.199988;2.790970437;20.231311
-0.9;2.941951171;22.524988
0.3999878;2.63423821;20.831097
0.7000061;2.413073967;19.227843
-0.2999939;2.604519176;20.238345
0.1;2.494906291;19.58095
0.3999878;2.544326391;20.12009
0.6;2.589400461;20.580476
0.8999878;2.506345119;20.07319
1.4999939;2.425435101;19.727919
1.6;2.394355451;19.525844
1.3000122;2.405740777;19.466614
1.1;2.040924804;16.429707
1.2000061;2.003875772;16.173036
1.1;2.124953648;17.10615
1.2000061;2.328254873;18.79106
1.2000061;2.426549884;19.584387
1.2000061;2.421229768;19.541449
1.1;2.222123029;17.888376
0.9999939;2.326804378;18.683043
0.8999878;2.352140239;18.838171
0.7000061;2.128943733;16.963838
0.9999939;2.262760676;18.168805
1.6;2.178571854;17.76614
2.4999938;2.072971722;17.310693
2.800012;2.079574245;17.505884
3.4999938;2.029901892;17.415443
3.6;1.786525949;15.369522
3.8999877;1.809164423;15.693619
3.9999938;1.797870085;15.63897
3.9999938;1.830835813;15.925726
4.1;1.787020375;15.587895
3.9999938;1.790735611;15.57691
3.9999938;1.815484624;15.792192
3.9999938;1.769911823;15.395772
4.1;1.738028196;15.160544
4.1;1.745518072;15.225877
4.3999877;1.675616581;14.739302
4.499994;1.574732767;13.890915
