$T_{amb}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heat}$ in kW
-1.6999878;3.3365905;25.068365
-1.1000122;4.378103825;33.353314
-0.5000061;2.642549786;20.445131
-0.1999878;2.497311026;19.481946
-0.100012206;2.480589242;19.367133
-0.100012206;2.465186012;19.246873
0.7000061;2.678266452;21.373235
1.3999878;2.396942843;19.459955
1.8000122;2.602947168;21.328444
2.3999877;2.411510466;20.094595
2.4999938;2.286157439;19.08246
2.700006;2.524445383;21.184383
3.200006;1.962753907;16.70595
3.1;2.4197654;20.497578
2.800012;2.673318549;22.466844
2.800012;2.514902845;21.159082
2.6;2.757943646;23.069841
2.200006;2.500259906;20.719371
1.9999939;2.530352283;20.833958
2.200006;2.795156466;23.124844
2.1;2.80396496;23.200383
2.4999938;1.917671727;16.010371
2.300012;2.351215348;19.531325
2.300012;2.331294314;19.338159
2.1;2.369709792;19.569594
2.1;2.2243726;18.380905
2.1;2.16024172;17.829387
2.300012;2.233129353;18.555872
2.3999877;2.143257758;17.839754
2.6;2.178479498;18.2353
2.700006;2.209634546;18.540169
2.9999938;2.082290541;17.654764
3.1;2.099548065;17.817479
3.4999938;2.032688691;17.421681
3.700006;1.793939675;15.488016
3.700006;1.968502416;16.961864
4.1;2.097584428;18.300557
4.300012;1.824429262;15.973323
3.9999938;2.250769476;19.553653
4.499994;2.331236785;20.56801
4.8999877;2.264452663;20.216945
4.6;2.279238402;20.165556
4.6;2.25057461;19.906479
4.999994;2.290059321;20.483574
5.200006;2.663383972;23.932686
4.8999877;2.73737141;24.405026
4.999994;2.743793522;24.538275
4.999994;2.740465991;24.544168
4.999994;2.741530002;24.536931
4.999994;2.746961578;24.535942
4.800012;2.765645922;24.611682
4.800012;2.772102852;24.652388
4.8999877;2.763889848;24.642465
4.8999877;2.762162645;24.657487
4.800012;2.733787919;24.344646
4.700006;2.103965881;18.681157
4.6;1.862290805;16.460664
4.6;1.834285749;16.221368
4.499994;1.766993778;15.59182
4.300012;1.871696971;16.43333
4.3999877;2.063996559;18.147292
4.6;1.856595209;16.420604
4.999994;1.911169921;17.081384
5.200006;1.757115719;15.7934
5.499994;1.542021252;14.007529
5.300012;1.762090073;15.922641
4.6;1.804923116;15.96533
4.3999877;1.679035143;14.783572
3.800012;1.848829287;15.998941
2.9999938;1.505425086;12.733309
1.8999878;1.648694707;13.555573
1.1;1.860462615;14.999031
0.9999939;1.861957698;14.95005
2.800012;1.766990158;14.896843
2.9999938;1.771086256;14.95199
2.300012;1.864559679;15.499915
2.300012;1.697039346;14.09741
2.300012;1.795700768;14.91148
1.6;1.842140693;15.023882
1.2000061;2.348938873;18.9219
0.9999939;2.339978454;18.78487
1.3999878;2.281209386;18.51308
1.6;2.511525765;20.51036
1.8999878;2.485096242;20.415256
2.3999877;2.559785847;21.302548
2.700006;2.54856821;21.386076
2.300012;2.294111729;19.072449
2.3999877;1.971956393;16.428522
1.9999939;2.064943418;17.008125
2.1;2.082859553;17.218158
1.8000122;2.180366219;17.875534
1.6;2.29945194;18.769312
1.2000061;2.443035625;19.70418
0.7000061;1.903064714;15.15923
0.1;2.048775384;16.073509
-0.2999939;2.178613068;16.905118
-0.5000061;2.292596284;17.731607
-1.0000061;2.345082058;17.915756
-0.6000122;2.23112511;17.208868
-6.10352E-06;2.143935061;16.780557
-6.10352E-06;2.069909134;16.182826
-0.2999939;2.198314375;17.075058
-0.5000061;2.235465705;17.279164
-0.9;2.429847105;18.589775
-1.7999939;2.437148027;18.255385
-1.9;2.535556352;18.957442
-2.1000123;2.9831707;22.229636
-2.299994;3.236238351;23.96212
-2.299994;2.942983328;21.7925
-3.1000123;2.975785331;21.6195
-4.199988;2.772598342;19.607317
-4.799994;3.068814019;21.450331
-4.500006;2.88690997;20.316582
-3.799994;2.921890432;20.939482
-3.199988;2.791484861;20.231311
-0.9;2.941101532;22.524988
0.3999878;2.634325812;20.831097
0.7000061;2.415778677;19.227843
-0.2999939;2.601670782;20.238345
0.1;2.49311036;19.58095
0.3999878;2.542399724;20.12009
0.6;2.591658313;20.580476
0.8999878;2.502981394;20.07319
1.4999939;2.428696801;19.727919
1.6;2.393010069;19.525844
1.3000122;2.400702968;19.466614
1.1;2.042863361;16.429707
1.2000061;2.0049635;16.173036
1.1;2.124750805;17.10615
1.2000061;2.32937841;18.79106
1.2000061;2.430160001;19.584387
1.2000061;2.421070743;19.541449
1.1;2.224386775;17.888376
0.9999939;2.325749174;18.683043
0.8999878;2.354213867;18.838171
0.7000061;2.125787261;16.963838
0.9999939;2.264459842;18.168805
1.6;2.179244232;17.76614
2.4999938;2.071357399;17.310693
2.800012;2.082029326;17.505884
3.4999938;2.029459656;17.415443
3.6;1.784291565;15.369522
3.8999877;1.811954798;15.693619
3.9999938;1.797552132;15.63897
3.9999938;1.830380104;15.925726
4.1;1.785682913;15.587895
3.9999938;1.792860164;15.57691
3.9999938;1.817784134;15.792192
3.9999938;1.769027267;15.395772
4.1;1.737533844;15.160544
4.1;1.745099294;15.225877
4.3999877;1.675060629;14.739302
4.499994;1.575759324;13.890915
4.700006;1.686096569;14.96087
5.1;1.638515511;14.706166
5.3999877;1.673286427;15.13384
5.499994;1.518281554;13.805786
5.200006;1.414430935;12.733626
4.999994;1.363445254;12.185015
4.6;1.476462154;13.069066
4.3999877;1.610630625;14.154434
4.300012;1.717746112;15.078935
4.200006;1.675248136;14.670009
4.499994;1.474254141;12.994356
4.800012;1.56654927;13.94937
4.800012;1.489743419;13.25846
4.499994;1.523620289;13.45063
4.300012;1.606172671;14.114485
4.300012;1.671381042;14.657426
4.499994;1.589479451;14.010873
4.6;1.514152344;13.382846
4.700006;1.541237729;13.661798
4.800012;1.526486184;13.579091
4.700006;1.512124237;13.418599
4.8999877;1.424541776;12.712631
4.8999877;1.329785727;11.8732834
4.6;1.450534548;12.831654
4.700006;1.375831146;12.22214
5.1;1.39815282;12.542136
5.300012;1.395653349;12.627894
5.6;1.400232009;12.754229
5.8999877;1.365922287;12.533348
6.1;1.266923112;11.691149
6.3999877;1.332541476;12.424943
6.499994;1.268147382;11.851799
6.800012;0.98373098;9.285126
7.1;0.840825519;8.006805
6.8999877;0.447056344;4.2291805
5.499994;0.737664303;6.690207
4.800012;0.748318615;6.647613
4.300012;0.753368223;6.605502
3.9999938;0.79036326;6.880702
3.200006;0.953724043;8.117391
2.700006;1.077740805;9.037314
2.300012;1.055241959;8.766683
2.300012;1.049772112;8.723013
2.200006;1.102831341;9.128552
2.700006;1.20891851;10.150902
2.4999938;0.975449247;8.1461044
2.200006;0.951561925;7.874481
2.700006;1.12710643;9.465802
3.1;1.30429109;11.0747475
3.6;1.22579952;10.556522
3.4999938;1.064249351;9.1398926
3.6;1.09177816;9.380195
3.200006;1.070187885;9.098595
2.700006;1.485700233;12.479267
2.1;1.66268698;13.744768
1.4999939;1.577355578;12.83617
0.6;1.781267219;14.209712
0.4999939;1.705201761;13.525972
-0.4;1.531234645;11.8818756
-6.10352E-06;1.529200827;11.9826706
-0.2999939;1.248463841;9.707208
-0.9;1.322691399;10.1241005
-1.1000122;1.499382196;11.432428
-1.4;1.547301986;11.695142
-1.6999878;1.533053599;11.509999
-2.199988;0.791345387;5.8695415
-2.1000123;0.124827306;0.9285683
-2.6000123;1.52538177;11.2378494
-2.299994;2.160462981;15.965457
-2.4;2.459385113;18.176009
-1.7999939;2.156088226;16.127655
-1.7999939;1.945373067;14.567422
-1.6999878;2.206705864;16.588754
-0.5000061;2.247590849;17.379662
0.2000061;2.172299188;17.074202
0.6;2.233228641;17.73747
-6.10352E-06;2.367562306;18.547118
-1.0000061;2.161138201;16.4948
-1.9;2.350012097;17.567038
-2.699988;2.634644409;19.322603
-3.299994;2.499908245;18.068307
-3.1000123;1.759487581;12.810094
-3.6000123;2.436869749;17.51305
-3.6000123;2.56489292;18.386186
-4.000006;1.626667597;11.5791336
-4.299994;1.363678941;9.63353
-4.6000123;1.359937667;9.556326
-4.699988;1.487121695;10.410262
-3.5000062;1.641639115;11.816614
-2.9;1.608440526;11.746546
-3.299994;1.542986913;11.168295
-3.1000123;1.600362515;11.614318
-3.0000062;1.852604698;13.487376
-3.1000123;1.934967417;14.052417
-2.6000123;1.90911471;14.024998
-2.0000062;1.791900716;13.382921
-0.2999939;2.155204113;16.753452
0.3999878;2.421473442;19.12546
1.6;2.116760195;17.277248
1.8999878;1.591499526;13.107379
1.9999939;1.272088296;10.493379
2.800012;1.064766004;8.950168
3.3999877;1.131893001;9.679993
3.200006;1.752924868;14.93464
2.9999938;1.777030644;15.029724
2.9999938;1.609176447;13.625075
3.300012;1.290342015;11.0182724
2.800012;1.097734147;9.232535
2.9999938;0.393894174;3.333538
3.3999877;0.38051512;3.245581
3.8999877;0.387049578;3.3541714
4.3999877;0.458827574;4.0350292
4.6;0.353928532;3.1271252
4.700006;0.374822204;3.3302876
4.800012;0.26373248;2.3430313
4.999994;0.349811198;3.1284908
4.8999877;0.663549118;5.920694
4.999994;0.717816231;6.431271
5.200006;0.162124832;1.456884
5.300012;0.649451624;5.8675064
5.700006;0.789332115;7.206467
5.8999877;0.724009567;6.6425316
5.999994;0.430482524;3.9666252
5.8999877;0.710408708;6.525127
5.999994;1.222888683;11.256686
5.6;0.84548217;7.697106
5.700006;1.064861488;9.718319
5.3999877;1.484999755;13.441563
5.6;1.505481727;13.713391
5.3999877;1.620018339;14.684375
4.800012;1.640290367;14.575227
4.3999877;1.443951457;12.7274506
4.300012;1.13333826;9.922725
3.9999938;1.236596723;10.755108
2.4999938;1.276293698;10.6639084
2.300012;1.302771571;10.824214
1.7000061;1.39720505;11.417071
0.7000061;1.388080964;11.058294
0.2000061;1.472518943;11.580442
0.6;1.43742014;11.418121
0.9999939;1.749138091;14.056111
1.3000122;1.69232067;13.698492
1.6;1.535354861;12.5124275
2.1;1.556164777;12.868944
1.8000122;1.767913417;14.496996
1.8999878;2.175924367;17.898192
1.9999939;2.193499375;18.087067
1.7000061;2.096106249;17.12466
1.3999878;2.062809543;16.725957
1.2000061;2.108144366;17.026756
1.6;2.230563543;18.200766
1.6;2.428450525;19.803491
1.8999878;2.447414234;20.117944
1.7000061;2.474186307;20.254306
1.9999939;2.318986365;19.099445
1.7000061;2.45217922;20.060118
2.1;2.426395927;20.044293
2.300012;2.418865419;20.087798
2.1;2.478241078;20.498103
1.8999878;2.432889003;20.01211
2.6;2.338744546;19.597557
3.200006;2.29387336;19.544156
2.9999938;2.355063797;19.932512
2.800012;2.413899021;20.33351
1.8000122;2.574065843;21.09501
3.200006;2.358762052;20.078148
3.6;2.278133032;19.596385
3.800012;2.343686415;20.276073
3.8999877;2.268434571;19.688783
3.8999877;2.209665426;19.152745
3.700006;2.294469932;19.833434
3.800012;2.23907168;19.350546
3.9999938;1.93675959;16.827519
3.9999938;2.134156635;18.584792
3.8999877;2.209742828;19.182979
3.3999877;2.187413763;18.72672
3.3999877;2.27210268;19.451831
3.200006;2.168637045;18.453827
3.200006;2.172423847;18.470377
2.8999877;2.316606986;19.5552
3.3999877;2.224344357;19.019162
4.200006;2.146283877;18.79153
4.6;2.139662994;18.924889
5.200006;2.111267521;18.983353
5.300012;2.047085644;18.468234
5.300012;2.060755117;18.604639
5.1;2.071496827;18.577046
5.1;2.048263861;18.364143
4.800012;2.099104542;18.678644
4.999994;2.118792412;18.961584
5.1;2.099150848;18.82607
5.300012;2.079527966;18.758229
5.3999877;2.117253378;19.16662
6.1;1.930185366;17.805281
6.700006;1.612931945;15.147408
7.200006;1.34024707;12.7868774
6.999994;1.615923996;15.331001
6.999994;1.820343867;17.279102
6.8999877;1.857810486;17.60107
6.800012;1.886778863;17.811159
6.700006;1.356415088;12.753645
6.300012;1.12100675;10.416528
5.999994;1.52990867;14.077373
5.999994;1.637042518;15.077373
5.3999877;1.112010647;10.0615524
5.3999877;1.048607303;9.493433
5.6;0.957966233;8.713645
5.700006;1.029465678;9.4034294
5.6;1.063475667;9.6952446
5.300012;1.060187175;9.566661
4.800012;1.115238559;9.925326
4.3999877;0.955746084;8.412631
4.1;1.176964808;10.262531
3.9999938;1.284801504;11.178386
4.3999877;1.315284822;11.569839
5.200006;1.57551951;14.178741
5.3999877;1.836408368;16.608243
5.6;1.832700097;16.683823
5.700006;2.149512925;19.633855
6.200006;1.800818078;16.707404
5.999994;1.384624184;12.7645134
5.700006;1.465891663;13.410815
5.300012;1.322120196;11.922701
5.200006;1.397065241;12.582088
4.8999877;1.535878937;13.70498
4.800012;1.80409106;16.083423
4.8999877;2.262390633;20.168626
4.499994;1.956244408;17.242395
4.1;2.058029592;17.941557
3.6;1.848824056;15.873111
3.1;1.944997852;16.497813
2.9999938;2.018098688;17.067781
2.8999877;2.048300034;17.291573
2.9999938;2.041235666;17.281679
2.9999938;2.037051378;17.271597
2.700006;2.103406542;17.67511
2.300012;2.358668845;19.581145
3.1;2.326883007;19.72998
3.4999938;2.111431602;18.12346
3.800012;1.907247666;16.477884
4.300012;1.689067331;14.842007
4.800012;1.822439979;16.23131
4.999994;1.940464217;17.353804
5.1;2.116413176;18.958942
4.800012;2.124057444;18.920782
4.6;1.920037865;16.982878
4.700006;1.985183454;17.631657
4.700006;2.052091131;18.176512
4.499994;1.839824112;16.22
4.3999877;1.208538122;10.630772
4.6;1.744479268;15.432437
4.800012;1.609103822;14.308914
4.700006;1.589205255;14.106421
4.700006;1.67370917;14.832466
4.499994;1.66826973;14.714009
4.200006;1.675333189;14.656177
3.300012;1.827866419;15.604323
3.1;1.873797221;15.912727
2.8999877;1.948033405;16.425046
2.200006;1.993330969;16.489267
1.9999939;2.138143391;17.641554
1.9999939;2.039696263;16.814056
2.1;1.842141285;15.209839
2.300012;1.979669189;16.468298
2.200006;2.493051286;20.655705
2.700006;2.03928072;17.140009
2.800012;2.057450226;17.320764
3.300012;2.690548343;23.002966
3.6;1.860394236;16.031927
3.700006;1.609821249;13.88417
3.800012;1.709864291;14.805043
