$T_{amb}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heat}$ in kW
3.9999938;1.826995219;15.902144
4.300012;1.461735515;12.838734
4.6;1.399361833;12.367375
4.999994;1.505296129;13.476949
4.999994;1.369758934;12.2678535
4.8999877;1.170030282;10.421012
4.700006;1.245719934;11.038387
4.6;1.403789432;12.393725
4.499994;1.31656246;11.610565
4.499994;1.290219909;11.389015
4.3999877;1.30169267;11.466618
4.200006;1.280508044;11.2016655
4.3999877;1.197689522;10.551728
3.8999877;1.56938336;13.595636
3.9999938;1.488856803;12.92985
4.499994;0.934431083;8.242295
4.499994;1.16114929;10.246412
2.9999938;1.479643853;12.5225914
2.3999877;1.546898237;12.857755
2.800012;1.447263919;12.182047
2.9999938;1.590302598;13.442725
3.1;1.643965223;13.960379
2.9999938;1.285782013;10.8860535
2.700006;1.408413791;11.813612
2.200006;0.870266216;7.206078
2.700006;0.449855876;3.7729073
3.3999877;1.135437845;9.714232
3.3999877;1.242454626;10.640179
3.4999938;0.998552942;8.5589455
3.800012;0.769309689;6.6581696
3.700006;1.00204985;8.6400154
3.800012;1.120519583;9.685754
3.8999877;1.084908554;9.4100876
3.800012;1.019148978;8.807461
3.800012;1.027699955;8.88546
3.700006;0.941843665;8.1157005
3.200006;0.915392812;7.804208
2.6;1.162575405;9.7345665
1.8999878;1.258839096;10.339661
1.3000122;1.422573339;11.5134445
1.6;1.17266636;9.562004
2.200006;1.271038354;10.527552
3.4999938;1.122076025;9.63246
3.9999938;1.392391587;12.1206604
3.9999938;1.365783607;11.8743805
3.800012;1.511402429;13.067258
3.8999877;1.64347402;14.252579
3.700006;1.869018528;16.087949
3.200006;1.954919491;16.611264
3.1;1.974574789;16.779073
2.800012;1.959866745;16.524184
3.200006;1.959244329;16.668236
3.4999938;1.918653375;16.470084
3.800012;1.622449247;14.039272
4.300012;1.631195569;14.350581
4.700006;1.70515528;15.142838
4.999994;1.684052583;15.06561
5.1;1.631374874;14.624567
5.700006;1.467500099;13.377274
5.8999877;1.503954709;13.813931
6.3999877;1.482127175;13.803323
6.499994;1.555375827;14.519469
6.6;1.564756711;14.661678
7.300012;1.40015229;13.394604
7.999994;1.420267328;13.921109
7.200006;1.35630453;12.959926
6.200006;1.398967342;12.961046
6.200006;1.099876248;10.204575
5.800012;1.100200926;10.074666
5.200006;1.48861414;13.384338
4.1;1.55807991;13.610715
3.6;1.499679544;12.908437
3.700006;1.470004371;12.6687195
3.3999877;1.658521995;14.18774
3.6;1.896436384;16.301398
3.800012;1.725477358;14.906564
3.8999877;1.631328033;14.163531
3.8999877;1.385291724;12.0387115
3.8999877;1.413993855;12.249273
3.8999877;1.471511049;12.771525
3.700006;1.541279869;13.287907
2.8999877;1.616950658;13.641823
2.800012;1.64678809;13.854817
2.6;1.671043945;13.980061
-6.10352E-06;1.95920324;15.338823
0.1;1.897018531;14.876653
0.2000061;2.165591089;17.043484
0.3999878;2.13579588;16.888689
0.3000122;2.023138012;15.954681
1.3999878;1.956945244;15.86229
1.8000122;2.135779099;17.498688
2.200006;1.876158989;15.554086
2.300012;1.954979835;16.246576
2.1;1.968457951;16.249217
1.2000061;1.734646652;14.001453
0.7000061;2.071638348;16.5191
-0.4;2.591685095;20.056639
-1.0000061;2.500746702;19.110155
-0.5000061;2.315425746;17.891733
-0.69998777;2.431113661;18.71547
-0.4;2.283861656;17.68981
-0.9;2.140987459;16.364082
-1.1999878;2.269909979;17.226073
-1.1000122;2.341932115;17.844516
-1.9;2.412183914;18.032538
-2.9;2.609133323;19.028957
-3.299994;2.661569683;19.260521
-3.4;2.806462792;20.217625
-2.799994;2.668397087;19.522331
-2.4;2.670973786;19.703893
-2.5000062;2.664746727;19.622217
-2.199988;2.810150512;20.854001
-1.6999878;2.369692185;17.780759
-0.6000122;2.644864036;20.392458
0.4999939;2.411567647;19.13697
1.1;2.544107929;20.469077
1.1;2.633001499;21.21297
1.3000122;2.179839224;17.619589
1.2000061;2.685876146;21.68838
2.1;2.62477719;21.717259
2.6;2.319345971;19.373888
2.9999938;2.418444505;20.452908
3.3999877;2.382675377;20.39746
3.1;2.389854702;20.277437
2.6;2.407810769;20.167755
1.8999878;2.045153822;16.799715
1.3999878;1.512485761;12.2713486
0.9999939;1.513142078;12.147941
0.9999939;1.447674203;11.637084
1.3000122;1.357879061;10.990274
1.2000061;1.276808567;10.3082985
1.4999939;1.491135505;12.12376
1.7000061;1.398334032;11.427776
1.9999939;1.642284457;13.52811
1.9999939;1.818841315;14.99435
1.9999939;1.928864862;15.888956
2.200006;1.876227665;15.547722
2.800012;1.421940921;11.993717
3.200006;1.52320726;12.972568
3.200006;1.679374565;14.286195
3.300012;1.573362514;13.44048
3.1;1.446787194;12.273287
2.3999877;1.962700074;16.314342
1.3000122;1.793077795;14.495096
0.4999939;2.265307213;17.926822
0.7000061;2.320119359;18.480937
0.4999939;2.156554685;17.097137
0.3000122;2.432780999;19.220381
0.3000122;2.344043731;18.495401
0.80001223;1.410916755;11.268775
0.6;1.700291769;13.524605
0.8999878;1.804408089;14.4208
0.6;1.749263345;13.90623
0.6;1.772243299;14.096138
0.3999878;1.737685527;13.72185
0.4999939;1.719865959;13.649774
0.7000061;1.739356688;13.864027
0.6;1.672008174;13.283783
0.6;1.836550728;14.605698
0.3000122;1.997527249;15.790594
0.7000061;2.21621234;17.662288
1.6;2.213653651;18.056523
2.200006;2.063988519;17.091367
2.300012;2.251182284;18.683926
1.9999939;2.027504509;16.721526
1.3000122;1.952661918;15.787462
0.3999878;2.369434751;18.738362
-0.2999939;2.395399525;18.604869
-0.4;2.437245659;18.900339
-0.6000122;2.407750012;18.577037
-0.69998777;2.372393723;18.271591
-1.0000061;2.562349847;19.561163
-1.4;2.522796569;19.077524
-1.6000122;2.095808752;15.761705
-1.0000061;2.124251203;16.217708
-0.2999939;1.940046856;15.08053
-0.100012206;1.923994351;15.0358
1.3999878;1.819139493;14.74508
1.8000122;1.750332996;14.360565
2.6;1.582415755;13.266766
3.200006;1.52022253;12.941476
3.300012;1.497713746;12.80252
3.4999938;1.76743902;15.152415
3.700006;1.58786449;13.681734
4.200006;1.733881948;15.140782
4.6;1.559258051;13.813036
4.700006;1.532677662;13.60507
4.8999877;1.742880436;15.54854
5.300012;1.229415669;11.097836
4.800012;1.687226899;14.993909
4.200006;1.98476869;17.401863
3.300012;1.942216857;16.574406
3.6;2.115905473;18.205089
3.3999877;1.864402038;15.96293
3.4999938;1.865025789;16.00827
2.6;2.223274477;18.619458
1.8999878;2.334068034;19.169545
0.80001223;1.625706194;12.992857
-0.1999878;2.176770908;16.98719
-0.5000061;2.226095486;17.234573
-0.69998777;2.297641211;17.705276
-0.9;2.198998418;16.82834
-0.9;2.155813392;16.490292
-0.69998777;2.258395458;17.374239
-0.5000061;2.169468152;16.775435
-0.69998777;2.274326349;17.51725
-0.100012206;2.289398241;17.849437
0.3000122;2.165572737;17.106877
0.4999939;2.205538408;17.482524
0.4999939;2.211538565;17.525569
0.6;1.983203286;15.747156
0.8999878;2.145618901;17.156909
0.9999939;2.317564931;18.62353
1.2000061;2.014326816;16.258527
1.2000061;2.503254464;20.178493
1.3000122;2.666091641;21.546538
1.4999939;2.628015483;21.368784
1.4999939;2.61078479;21.269464
1.6;2.590433656;21.119598
1.3000122;2.748176845;22.205493
1.2000061;3.259276167;26.299026
1.4999939;3.283497249;26.700217
2.8999877;3.144248354;26.471082
3.6;3.040450742;26.155704
3.4999938;3.048364902;26.14751
3.3999877;3.055781585;26.16273
3.3999877;3.051191151;26.152258
3.300012;3.065961604;26.189166
3.300012;3.072731355;26.211942
2.6;3.171034954;26.522913
2.9999938;3.068069049;26.030655
3.4999938;2.279251498;19.555835
3.300012;2.007122339;17.126402
3.300012;1.976435607;16.863943
3.1;1.90684107;16.185382
2.800012;2.030722358;17.092284
2.3999877;2.29595206;19.111224
2.6;2.078383863;17.39318
2.6;2.197744197;18.401123
2.700006;2.041854242;17.133348
2.800012;1.821648691;15.324191
2.8999877;2.047890058;17.287384
2.9999938;2.007127929;16.983202
2.800012;1.851670016;15.609842
2.6;1.994990334;16.661621
2.3999877;1.538345496;12.825438
2.200006;1.593957661;13.220735
2.1;1.735719393;14.312952
2.1;1.698231716;14.027089
1.9999939;1.772268596;14.599693
1.7000061;1.839461794;15.019604
1.2000061;1.909297533;15.398224
1.2000061;1.725822181;13.91408
1.2000061;1.819194823;14.707146
1.4999939;1.769604348;14.406448
0.80001223;2.311858758;18.490834
0.7000061;2.317007378;18.47513
1.1;2.289885028;18.41393
1.2000061;2.542460467;20.509576
1.3999878;2.520024541;20.453767
1.7000061;2.59834233;21.219801
1.8999878;2.590423656;21.305643
1.9999939;2.26489783;18.660246
1.8000122;1.949262108;15.973624
2.1;1.964725859;16.244669
2.300012;1.967783877;16.352095
2.300012;2.025535441;16.819026
2.300012;2.115050798;17.587904
2.300012;2.211785179;18.352876
2.3999877;1.60531243;13.377661
2.1;1.685785427;13.936772
1.1;1.845074596;14.848683
0.9999939;1.946859616;15.637166
1.6;1.882250001;15.331253
1.8000122;1.789698106;14.6843
1.9999939;1.741575564;14.349413
1.8999878;1.679187126;13.794592
1.4999939;1.797044773;14.631429
1.4999939;1.800642966;14.636124
1.8000122;1.897448726;15.533626
1.8000122;1.812538491;14.836392
1.8999878;1.872722955;15.401141
1.8999878;2.236705866;18.361287
1.6;2.427210177;19.827048
1.7000061;2.134547175;17.417764
1.4999939;2.058148491;16.767703
1.2000061;1.791754305;14.463953
1.2000061;1.945580609;15.701088
1.2000061;1.817272855;14.65933
1.3999878;1.892743867;15.361119
1.8000122;1.807829619;14.819414
1.9999939;2.144574868;17.691667
2.200006;2.020087888;16.737033
2.200006;1.872571538;15.515352
0.9999939;2.066048054;16.583525
1.4999939;1.975946428;16.071007
1.8999878;2.017670662;16.588443
1.9999939;2.081895936;17.128355
1.9999939;2.05030991;16.874347
1.8999878;2.058676417;16.932634
1.9999939;2.047362573;16.874643
1.9999939;2.041562295;16.821117
2.1;1.674706372;13.837561
2.200006;1.62347884;13.454015
2.300012;1.689662825;14.027705
2.1;1.891901977;15.620247
2.300012;1.978197897;16.434724
2.1;2.030456357;16.760988
1.8000122;1.875152795;15.377852
1.8000122;1.981816712;16.219734
1.7000061;2.014733623;16.48919
1.6;1.802977316;14.709843
1.6;1.96636177;16.039511
1.8000122;1.936068268;15.886145
1.8999878;1.926837339;15.862248
1.8999878;1.98327995;16.316731
1.8999878;2.031773786;16.670018
1.8000122;1.815391498;14.863695
1.7000061;1.898119159;15.510191
1.8000122;1.906959403;15.63297
1.8000122;1.960285247;16.077695
1.7000061;1.952052758;15.949358
1.6;1.973269104;16.094786
1.7000061;2.008259972;16.408136
1.8999878;1.952164187;16.035745
1.7000061;1.961010062;16.012085
1.8999878;1.960906451;16.102744
2.1;1.905419656;15.723206
2.3999877;1.791208603;14.904053
2.6;1.931123505;16.185608
2.700006;1.927630008;16.16859
2.700006;1.995169154;16.792572
2.700006;1.842214798;15.47352
2.4999938;1.712949159;14.306798
2.200006;1.67546604;13.868805
2.1;1.786379613;14.769923
1.9999939;1.940423535;15.981801
1.9999939;2.054669718;16.934077
2.4999938;1.948044877;16.307368
3.3999877;1.663983378;14.235745
4.300012;1.707556797;14.994687
4.700006;1.580008922;14.006985
4.8999877;1.561281713;13.928741
4.700006;1.632825444;14.509541
4.700006;1.691856712;14.999626
4.800012;1.601180466;14.269331
4.6;1.543984575;13.667418
4.700006;1.57047347;13.92433
4.700006;1.55993013;13.84669
4.700006;1.533795917;13.619144
4.700006;1.453066257;12.897984
4.6;1.352265257;11.944205
4.800012;1.415702532;12.585755
4.800012;1.31054469;11.656247
4.999994;1.331876329;11.915636
5.300012;1.329432966;12.0046
5.300012;1.363062778;12.3030525
4.300012;1.439569778;12.611337
3.1;1.504231282;12.770233
2.4999938;1.695811054;14.169434
2.1;1.682787651;13.911545
1.8999878;1.397545893;11.498543
1.9999939;1.271199519;10.484055
1.9999939;0.77290684;6.3721634
2.1;1.039130392;8.585272
1.8999878;1.006813358;8.26199
1.8999878;0.975376309;8.020071
1.8999878;1.001571709;8.2337135
1.1;1.189376155;9.577122
0.80001223;1.299923745;10.371769
0.4999939;1.264091253;10.011143
0.1;1.289566298;10.131206
-0.1999878;1.357802106;10.5766106
0.1;1.496301839;11.751199
-6.10352E-06;1.206186973;9.443191
-0.1999878;1.148852811;8.9495926
-0.4;1.378098657;10.691572
-0.5000061;1.730438153;13.373302
-6.10352E-06;1.65851922;12.985326
0.6;1.378774798;10.953607
0.9999939;1.345023523;10.795352
0.3999878;1.347838474;10.655315
-0.100012206;1.88031028;14.68689
-0.9;2.118281406;16.211139
-1.2999939;2.004177387;15.214607
-1.6000122;2.184669293;16.431314
-1.6999878;2.079568174;15.613918
-2.199988;1.852456016;13.740578
-2.5000062;1.915562955;14.133882
-3.0000062;1.617893992;11.784624
-3.6000123;1.709598754;12.291053
-3.799994;1.931077165;13.786673
-4.299994;1.997027948;14.120302
-4.699988;1.996858219;14.001102
-5.000006;1.137596352;7.9170296
-5.6000123;0.409506119;2.8150812
-5.699988;2.05038905;14.042917
-5.799994;2.79927653;19.165439
-5.9;3.130857303;21.407129
-5.799994;2.822370969;19.290794
-5.000006;2.463142483;17.133417
-3.799994;2.701735117;19.34307
-3.199988;2.809617215;20.397298
-2.6000123;2.701493377;19.84856
-1.9;2.688516664;20.085205
-1.6999878;2.750238817;20.647603
-2.199988;2.49881457;18.518866
-3.1000123;2.712770976;19.692723
-4.000006;3.019312512;21.46791
-4.4;2.841298019;20.02473
-5.299994;2.167500324;14.983008
-5.699988;2.909592141;19.94187
-6.9;3.186526678;21.307954
-6.799994;2.109073817;14.098822
-7.1000123;1.819880648;12.1111015
-7.000006;1.784942713;11.890216
-7.199988;1.93281421;12.822717
-7.199988;2.223849052;14.763744
