;delta_reaTZon_y
0.0;0.152655693
1.0;0.13263261
2.0;0.116048869
3.0;0.101689867
4.0;0.095497286
5.0;0.082054663
6.0;0.069327871
7.0;0.056392407
8.0;-0.005138315
9.0;0.048209377
10.0;0.053926407
11.0;0.069915709
12.0;0.067341102
13.0;0.06412057
14.0;0.069829715
15.0;0.077609952
16.0;0.074676723
17.0;0.07029683
18.0;0.085973806
19.0;0.10160245
20.0;0.097343694
21.0;0.092324699
22.0;0.094261767
23.0;0.103834122
24.0;0.130577699
25.0;0.136331107
26.0;0.101887174
27.0;0.072617311
28.0;0.013033572
29.0;0.01281885
30.0;-0.044043145
31.0;-0.192453038
32.0;-0.295819904
33.0;-0.312239473
34.0;-0.235660151
35.0;-0.254328676
36.0;-0.241547316
37.0;-0.228782641
38.0;-0.12206911
39.0;-0.105749684
40.0;-0.09679138
41.0;-0.065498052
42.0;-0.032383209
43.0;0.004884585
44.0;0.047627578
45.0;0.087076027
46.0;0.124121644
47.0;0.146474106
48.0;0.150543542
49.0;0.140300155
50.0;0.118117306
51.0;0.085814483
52.0;0.052598415
53.0;0.007895973
54.0;-0.048032432
55.0;-0.125525137
56.0;-0.239382441
57.0;-0.198944302
58.0;-0.055796131
59.0;0.122630137
60.0;0.209925806
61.0;0.236979799
62.0;0.248017775
63.0;0.280704795
64.0;0.352291378
65.0;0.389936696
66.0;0.402559745
67.0;0.391009196
68.0;0.318045725
69.0;0.174613916
70.0;0.029368303
71.0;-0.140782945
72.0;-0.265885382
73.0;-0.272195356
74.0;-0.209332297
75.0;-0.212201762
76.0;-0.206054526
77.0;-0.134806197
78.0;-0.151228446
79.0;-0.198249972
80.0;-0.18789721
81.0;-0.174126963
82.0;-0.094819668
83.0;-0.134221562
84.0;-0.1295879
85.0;-0.123255501
86.0;-0.116095684
87.0;-0.111687251
88.0;-0.107523353
89.0;-0.107019012
90.0;-0.053909458
91.0;-0.045959613
92.0;-0.04472025
93.0;-0.027902339
94.0;0.006582542
95.0;0.043466098
96.0;0.065733376
97.0;0.078171444
98.0;0.090230036
99.0;0.094135248
100.0;0.063060351
101.0;0.021678796
102.0;-0.00368842
103.0;-0.034982414
104.0;-0.130682438
105.0;-0.10728078
106.0;-0.01627205
