;0
1488.0;1.4645461318867942e-06
1489.0;1.3492341136651819e-06
1490.0;1.2421371473783382e-06
1491.0;1.1848765867337163e-06
1492.0;1.2163971310774954e-06
1493.0;1.3426454783968412e-06
1494.0;1.4333704942532127e-06
1495.0;1.4889142285557946e-06
1496.0;1.559664758242921e-06
1497.0;1.5909126892490313e-06
1498.0;1.5720813336282718e-06
1499.0;2.6118668881733085e-06
1500.0;2.5550277681362194e-06
1501.0;2.4737610637615413e-06
1502.0;2.4117967860794093e-06
1503.0;2.3697297484853637e-06
1504.0;2.3655505396086047e-06
1505.0;2.419902240698293e-06
1506.0;2.5095519778415953e-06
1507.0;2.616198996872844e-06
1508.0;2.7415352610686955e-06
1509.0;2.8085576034832646e-06
1510.0;2.6910317208688767e-06
1511.0;2.4861617316954393e-06
1512.0;2.227119247007435e-06
1513.0;1.9824705564454305e-06
1514.0;1.8481119740244225e-06
1515.0;1.7867340461674822e-06
1516.0;1.6589466839436658e-06
1517.0;1.522418174273648e-06
1518.0;1.4055061662231e-06
1519.0;1.331550288320488e-06
1520.0;1.2952336688549517e-06
1521.0;1.2773780878391459e-06
1522.0;1.2779754833135307e-06
1523.0;1.3040644608183996e-06
1524.0;1.3458046243039384e-06
1525.0;1.3711295193193853e-06
1526.0;1.4035398903286099e-06
1527.0;1.461843026242598e-06
1528.0;1.5196810272797444e-06
1529.0;1.5590506801856926e-06
1530.0;1.6024638357250861e-06
1531.0;1.5856351462873624e-06
1532.0;1.5769466691306566e-06
1533.0;1.6088338024903238e-06
1534.0;1.648473579345262e-06
1535.0;1.6374843931846943e-06
1536.0;1.6311837728522957e-06
1537.0;1.6520979979679523e-06
1538.0;1.6635496452862165e-06
1539.0;1.6613040578085915e-06
1540.0;1.6451617551421616e-06
1541.0;1.6142332390167394e-06
1542.0;1.5765770083019784e-06
1543.0;1.5430348482894012e-06
1544.0;1.5274962221073507e-06
1545.0;1.5264692360174386e-06
1546.0;1.556957437799055e-06
1547.0;2.3078466549493945e-06
1548.0;2.8978879746878242e-06
1549.0;2.851188354162229e-06
1550.0;2.8208787630004795e-06
1551.0;2.7805492920664997e-06
1552.0;2.773823238930858e-06
1553.0;2.8496742001312817e-06
1554.0;2.945336170739228e-06
1555.0;2.935854936343589e-06
1556.0;2.768810580310909e-06
1557.0;2.496528245858146e-06
1558.0;2.197150826792532e-06
1559.0;2.039051180345893e-06
1560.0;2.0260853580182404e-06
1561.0;1.9198947765194715e-06
1562.0;1.7863378788397297e-06
1563.0;1.6793086389494815e-06
1564.0;1.603857534970258e-06
1565.0;1.5644090371394865e-06
1566.0;1.5450301876734204e-06
1567.0;1.5121375037895004e-06
1568.0;1.474810388869959e-06
1569.0;1.3506938902709558e-06
1570.0;1.243756106059971e-06
1571.0;1.2235409604832102e-06
1572.0;1.2459522863086454e-06
1573.0;1.2890904032236524e-06
1574.0;1.3397275127188645e-06
1575.0;1.4009171981974897e-06
1576.0;1.4673577540540047e-06
1577.0;1.531379801001606e-06
1578.0;1.5427919958613581e-06
1579.0;1.5399198400801541e-06
1580.0;1.5418202036318583e-06
1581.0;1.5850836621068177e-06
