;delta_reaTZon_y
0;0.0779400629827143
1;0.0722251309129755
2;0.0676219734583793
3;0.0644380122681657
4;0.0625992349909803
5;0.061784692485858
6;0.0610802066367187
7;0.0570337745078724
8;0.0493100567107127
9;0.0416978824880908
10;0.0353487737580778
11;0.0653615989334315
12;0.065498884065395
13;0.0651303295591867
14;0.0647794006900295
15;0.0643972261992327
16;0.0639724705117426
17;0.0637690042732797
18;0.0642736278218531
19;0.0651713350934342
20;0.0659835072636998
21;0.0668189876355101
22;0.0676819367458272
23;0.0683564138601376
24;0.0687869478887546
25;0.0689114881609134
26;0.0684207593390426
27;0.0674412626534615
28;0.0663711147524474
29;0.0654446345382583
30;0.0645877407003626
31;-0.0576443363719155
32;-0.1251238993896564
33;-0.1241137574651044
34;-0.1228906104966813
35;-0.1212998421601079
36;-0.1191143359559711
37;-0.1166977694442983
38;-0.1143510629564439
39;-0.110044370030561
40;-0.0998342376836723
41;-0.0833875631852133
42;-0.0618181751212806
43;-0.03856666852747
44;-0.0144223139032644
45;0.0094775833147253
46;0.0303025676620868
47;0.0461763688122821
48;0.0545282114452529
49;0.0536221143321248
50;0.0441080337713884
51;0.027431189879639
52;0.0051585696279707
53;-0.0208610476431283
54;-0.0493404982191018
55;-0.0777896522651446
56;-0.0983120605220756
57;-0.0948225253507065
58;-0.092082054852099
59;0.0489673470365066
60;0.0996527281563602
61;0.0989325289190705
62;0.0983014260319795
63;0.0983350786572445
64;0.1076933149048143
65;0.1218315179556559
66;0.131768852900226
67;0.1399376220467957
68;0.1291847324788962
69;0.0873230105277674
70;0.0248792245831798
71;-0.0439295002156343
72;-0.0885126734878016
73;-0.08958430314016
74;-0.0878209442153103
75;-0.0864016313770818
76;-0.0849666139074237
77;-0.0769393518001629
78;-0.0575197791609746
79;-0.0824957726930421
80;-0.0828303073390077
81;-0.0816480285337747
82;-0.0803016717674564
83;-0.0792354331949771
84;-0.0779535505219003
85;-0.0766970273122121
86;-0.0754751610142034
87;-0.0744703508380181
88;-0.0736812208839034
89;-0.0730745082006691
90;-0.0730543365470499
91;-0.0700073145709644
92;-0.0646577497252578
93;-0.0570350438492792
94;-0.046680312729864
95;-0.0339735657585946
96;-0.0219035900639678
97;-0.0132139239248935
98;-0.0085892517819926
99;-0.0072705540213049
100;-0.0112738799333177
101;-0.023327903017128
102;-0.0384070152005728
103;-0.052592179317939
104;-0.0661511553672128
105;-0.0768763476319637
106;-0.0793032391657471
107;0.0569276801038547
108;0.1045317923693936
109;0.1033515007924834
110;0.1023688899980735
111;0.1014897294611115
112;0.1004617654205852
113;0.0992990217648294
114;0.0982250570281441
115;0.0972188123916356
116;0.0962737848955323
117;0.0868881094677664
118;0.0651497139562427
119;0.0287628304567505
120;-0.0135673913126761
121;-0.0504562869150507
122;-0.078481907602366
123;-0.0937329383778611
124;-0.0964463048553828
125;-0.0868279101593285
126;-0.0653281176388816
127;-0.1131030644144379
128;-0.1110986871486367
129;-0.1101891834795706
130;-0.109590194771362
131;-0.1086509713392528
132;-0.107664312750661
133;-0.1077300264671887
134;-0.1082978489115396
135;-0.1016258240895198
136;-0.0881019913056707
137;-0.0653089349200509
138;-0.0386450087238831
139;-0.0140459510017689
140;0.0086069092716159
141;0.0269567650867352
142;0.0392258873020981
143;0.04419991432096
144;0.0417710063606632
145;0.0332436067728857
146;0.0180198755396329
147;-0.004375224281511
148;-0.029938947431216
149;-0.0558203342823426
150;-0.0793846195040631
151;-0.095691509100422
152;-0.1050550178199266
153;-0.1049091610623651
154;-0.095425933822177
155;0.0571153161887687
156;0.0867326753752255
157;0.0841461781292142
158;0.082227369897021
159;0.0827461131105623
160;0.0882778643833517
161;0.1032587299033257
162;0.1252915814900438
163;0.1494528768016951
164;0.1776564178882291
165;0.195724914430419
166;0.1596955834209006
167;0.085353486789392
168;-0.0045363970910173
169;-0.0298241787290494
170;-0.0461587990682851
171;-0.0641311138329918
172;-0.0933911831962906
173;-0.1147181244417589
174;-0.1160789604458922
175;-0.1152183220152715
176;-0.113264077523249
177;-0.1105038748489465
178;-0.1080210517040579
179;-0.1064530097943923
180;-0.1046799642944709
181;-0.1026570693006883
182;-0.1007841364340881
183;-0.0998316170160598
184;-0.0964637797947423
185;-0.0904741965161384
186;-0.0816783986201596
187;-0.0723751502051262
188;-0.0598219075366905
189;-0.0413263001541183
190;-0.0229341610350007
191;-0.0075985424164607
192;0.0046657203935268
193;0.0129165122747332
194;0.0167013574832748
195;0.0164274735547031
196;0.0106196608357852
197;-0.0012660622066499
198;-0.0178858284240966
199;-0.0378524886053173
200;-0.0583814834487029
201;-0.0766659133423965
202;-0.0908981615264718
203;0.0344428087893394
204;0.0868367856705021
205;0.0863506563162228
206;0.0859060535210774
207;0.0855957448904533
208;0.0853006116569466
209;0.0845175183672218
210;0.0831245747517468
211;0.0810293700415068
212;0.0785650930839418
213;0.0753965886005008
214;0.0728165866521305
215;0.0724713569852362
216;0.0662961826443981
217;0.0524849289994134
218;0.033596334682963
219;0.0117871746878229
220;-0.0118070778658559
221;-0.0357323128196202
222;-0.0552200604159004
223;-0.1129464805644579
224;-0.1107383792842257
225;-0.1085071832475177
226;-0.1063561538949893
227;-0.105166302715459
228;-0.1044622694793255
229;-0.1030623139196835
230;-0.1017753627471582
231;-0.1018030870724531
232;-0.101997817387345
233;-0.1007286795740732
234;-0.0972846691984535
235;-0.0922601201969386
236;-0.0829716863200317
237;-0.0683628215084762
238;-0.0502840978771519
239;-0.0308438727035499
240;-0.0115900685651237
241;0.0061970113859263
242;0.0206946709060143
243;0.0300015594898774
244;0.0327721821419815
245;0.0292951697654512
246;0.0180210279240877
247;-0.0031253269540621
248;-0.0287104457827632
249;-0.0541486252495667
250;-0.0783694594585718
251;-0.0984344162660468
252;-0.1013810711439778
253;-0.1002740185905183
254;-0.0941953987263348
255;-0.0793565494798505
256;-0.0588193379317062
257;-0.0352075222694354
258;-0.0121897832054851
259;0.0039314531832866
260;0.0158467731757563
261;0.0293592800990385
262;0.0350134032010192
263;0.0274757009207692
264;0.012306690599879
265;-0.0081465740971819
266;-0.034254127507706
267;-0.0640673682441897
268;-0.0947306506024621
269;-0.1027885208147253
270;-0.1027322966470516
271;-0.1003425700318745
272;-0.0878032531217709
273;-0.0693614905690115
274;-0.0452843107201963
275;-0.0175663905836793
276;0.0101057034711639
277;0.0346834182735251
278;0.0528947616475332
279;0.0626359522496016
280;0.0635033862239267
281;0.0561887571093625
282;0.0408189585194136
283;0.019527331860015
284;-0.0065866044337465
285;-0.0361522363022995
286;-0.0649497598469325
287;-0.0896793542794093
288;-0.1070078896138724
289;-0.1139195437967387
290;-0.1086136472125167
291;-0.0904407996965798
292;-0.0631188461597399
293;-0.0303567308260654
294;0.0055358755188357
295;0.040895022105247
296;0.0725137936139424
297;0.0750207156648978
298;0.0744159765276099
299;0.0710327747640064
300;0.0683783231755372
301;0.0688150066113243
302;0.0726790444171525
303;0.0742683033251456
304;0.0852266344616366
305;0.0845265849938265
306;0.0130255925727684
307;-0.0767863266815092
308;-0.1041514257745318
309;-0.098387289510324
310;-0.1047547316419726
311;-0.1092174343027022
312;-0.1077429180020665
313;-0.1031101192665369
314;-0.0927053451297311
315;-0.0785423335183192
316;-0.0587896330003591
317;-0.0339127352821413
318;-0.0030164725958424
319;0.0301800736713864
320;0.0610786922439536
321;0.0803631669337465
322;0.0792683097558625
323;0.0778439842422806
324;0.0731544477300392
325;0.0599183913575544
326;0.0394562003329744
327;0.0139520632202402
328;-0.0145266850393615
329;-0.0433916133874936
