Time,Total active power,Schedule,Space Temperature T1,Space Temperature T2,Av. Space Temperature,Supply Temperature,Empty trial schedule,Shut off schedule
2016-08-01 00:00:00,0.1,0,24.3,21.8,23.05,19.4,0,0
2016-08-01 00:15:00,0.1,0,24.3,21.8,23.05,19.3,0,0
2016-08-01 00:30:00,0.1,0,24.3,21.8,23.05,19.1,0,0
2016-08-01 00:45:00,0.2,0,24.3,21.8,23.05,19.0,0,0
2016-08-01 01:00:00,0.1,0,24.2,21.8,23.0,18.8,0,0
2016-08-01 01:15:00,0.2,0,24.2,21.8,23.0,18.8,0,0
2016-08-01 01:30:00,0.2,0,24.2,21.8,23.0,18.6,0,0
2016-08-01 01:45:00,0.1,0,24.2,21.8,23.0,18.5,0,0
2016-08-01 02:00:00,0.1,0,24.2,21.8,23.0,18.3,0,0
2016-08-01 02:15:00,0.1,0,24.2,21.8,23.0,18.3,0,0
2016-08-01 02:30:00,0.1,0,24.2,21.7,22.95,18.2,0,0
2016-08-01 02:45:00,0.1,0,24.2,21.7,22.95,18.1,0,0
2016-08-01 03:00:00,0.2,0,24.1,21.7,22.9,18.1,0,0
2016-08-01 03:15:00,0.1,0,24.1,21.7,22.9,18.0,0,0
2016-08-01 03:30:00,0.2,0,24.1,21.7,22.9,17.9,0,0
2016-08-01 03:45:00,0.2,0,24.1,21.7,22.9,17.8,0,0
2016-08-01 04:00:00,0.2,0,24.1,21.7,22.9,17.8,0,0
2016-08-01 04:15:00,0.2,0,24.1,21.6,22.85,17.7,0,0
2016-08-01 04:30:00,0.2,0,24.0,21.6,22.8,17.6,0,0
2016-08-01 04:45:00,0.1,0,24.0,21.6,22.8,17.6,0,0
2016-08-01 05:00:00,0.2,0,24.0,21.6,22.8,17.5,0,0
2016-08-01 05:15:00,0.2,0,24.0,21.5,22.75,17.5,0,0
2016-08-01 05:30:00,0.2,0,23.9,21.5,22.7,17.5,0,0
2016-08-01 05:45:00,0.1,0,23.9,21.5,22.7,17.5,0,0
2016-08-01 06:00:00,0.0,0,23.9,21.5,22.7,17.5,0,0
2016-08-01 06:15:00,0.0,0,23.8,21.4,22.6,17.5,0,0
2016-08-01 06:30:00,0.1,0,23.8,21.4,22.6,17.5,0,0
2016-08-01 06:45:00,0.0,0,23.7,21.4,22.55,17.5,0,0
2016-08-01 07:00:00,0.0,0,23.7,21.3,22.5,17.5,0,0
2016-08-01 07:15:00,0.2,0,23.7,21.3,22.5,17.6,0,0
2016-08-01 07:30:00,0.0,0,23.6,21.3,22.45,17.6,0,0
2016-08-01 07:45:00,9.8,1,23.6,21.2,22.4,14.5,0,0
2016-08-01 08:00:00,13.7,1,22.9,20.9,21.9,14.3,0,0
2016-08-01 08:15:00,8.5,1,22.8,20.6,21.7,14.5,0,0
2016-08-01 08:30:00,9.7,1,22.9,20.7,21.8,15.3,0,0
2016-08-01 08:45:00,7.9,1,23.3,21.2,22.25,16.4,0,0
2016-08-01 09:00:00,17.5,1,23.3,21.2,22.25,16.1,0,0
2016-08-01 09:15:00,16.8,1,23.3,21.2,22.25,16.4,0,0
2016-08-01 09:30:00,16.7,1,23.4,21.2,22.3,16.9,0,0
2016-08-01 09:45:00,16.7,1,23.6,21.4,22.5,17.3,0,0
2016-08-01 10:00:00,16.7,1,23.7,21.5,22.6,17.7,0,0
2016-08-01 10:15:00,17.6,1,23.8,21.6,22.7,17.9,0,0
2016-08-01 10:30:00,16.6,1,24.0,21.7,22.85,18.2,0,0
2016-08-01 10:45:00,16.8,1,24.1,21.8,22.95,18.6,0,0
2016-08-01 11:00:00,17.1,1,24.3,21.9,23.1,18.6,0,0
2016-08-01 11:15:00,16.7,1,24.4,22.0,23.2,19.1,0,0
2016-08-01 11:30:00,17.3,1,24.5,22.1,23.3,19.4,0,0
2016-08-01 11:45:00,17.0,1,24.6,22.3,23.45,19.1,0,0
2016-08-01 12:00:00,16.7,1,24.7,22.3,23.5,19.3,0,0
2016-08-01 12:15:00,16.5,1,24.8,22.3,23.55,19.9,0,0
2016-08-01 12:30:00,17.0,1,24.8,22.4,23.6,18.7,0,0
2016-08-01 12:45:00,17.5,1,24.8,22.4,23.6,18.5,0,0
2016-08-01 13:00:00,16.7,1,24.7,22.4,23.55,19.0,0,0
2016-08-01 13:15:00,16.7,1,24.8,22.4,23.6,19.3,0,0
2016-08-01 13:30:00,17.0,1,24.9,22.5,23.7,19.2,0,0
2016-08-01 13:45:00,17.2,1,24.9,22.5,23.7,19.1,0,0
2016-08-01 14:00:00,17.3,1,24.9,22.5,23.7,18.9,0,0
2016-08-01 14:15:00,16.5,1,24.9,22.5,23.7,18.8,0,0
2016-08-01 14:30:00,17.4,1,24.9,22.5,23.7,19.2,0,0
2016-08-01 14:45:00,17.1,1,24.9,22.5,23.7,19.0,0,0
2016-08-01 15:00:00,16.8,1,25.0,22.5,23.75,18.7,0,0
2016-08-01 15:15:00,17.4,1,24.9,22.5,23.7,18.5,0,0
2016-08-01 15:30:00,17.7,1,24.8,22.5,23.65,18.3,0,0
2016-08-01 15:45:00,17.4,1,24.8,22.4,23.6,18.0,0,0
2016-08-01 16:00:00,17.6,1,24.8,22.4,23.6,17.7,0,0
2016-08-01 16:15:00,16.8,1,24.7,22.4,23.55,17.5,0,0
2016-08-01 16:30:00,17.3,1,24.7,22.4,23.55,17.5,0,0
2016-08-01 16:45:00,16.8,1,24.6,22.3,23.45,17.5,0,0
2016-08-01 17:00:00,0.1,1,24.7,22.4,23.55,17.7,0,1
2016-08-01 17:15:00,0.2,1,25.0,22.7,23.85,17.9,0,1
2016-08-01 17:30:00,0.2,1,25.1,22.8,23.95,18.2,0,1
2016-08-01 17:45:00,0.2,1,25.2,22.8,24.0,18.5,0,1
2016-08-01 18:00:00,0.2,1,25.2,22.8,24.0,18.8,0,1
2016-08-01 18:15:00,0.1,1,25.2,22.8,24.0,18.9,0,1
2016-08-01 18:30:00,0.2,1,25.2,22.8,24.0,18.9,0,1
2016-08-01 18:45:00,0.2,1,25.2,22.8,24.0,19.0,0,1
2016-08-01 19:00:00,0.2,1,25.2,22.8,24.0,19.0,0,1
2016-08-01 19:15:00,17.4,1,25.0,22.7,23.85,16.0,0,0
2016-08-01 19:30:00,16.6,1,24.5,22.4,23.45,15.8,0,0
2016-08-01 19:45:00,17.6,1,24.3,22.2,23.25,15.7,0,0
2016-08-01 20:00:00,17.2,1,24.2,22.1,23.15,15.6,0,0
2016-08-01 20:15:00,16.8,1,24.1,21.9,23.0,15.5,0,0
2016-08-01 20:30:00,17.3,1,24.0,21.8,22.9,15.4,0,0
2016-08-01 20:45:00,16.6,1,24.0,21.7,22.85,15.5,0,0
2016-08-01 21:00:00,16.7,1,23.9,21.7,22.8,15.5,0,0
2016-08-01 21:15:00,17.6,1,23.8,21.6,22.7,15.5,0,0
2016-08-01 21:30:00,16.8,1,23.8,21.6,22.7,15.5,0,0
2016-08-01 21:45:00,0.1,0,24.1,21.7,22.9,15.8,0,0
2016-08-01 22:00:00,0.2,0,24.4,22.0,23.2,16.0,0,0
2016-08-01 22:15:00,0.1,0,24.4,22.1,23.25,16.4,0,0
2016-08-01 22:30:00,0.1,0,24.4,22.1,23.25,16.5,0,0
2016-08-01 22:45:00,0.1,0,24.4,22.1,23.25,17.0,0,0
2016-08-01 23:00:00,0.2,0,24.4,22.1,23.25,17.2,0,0
2016-08-01 23:15:00,0.2,0,24.4,22.0,23.2,17.3,0,0
2016-08-01 23:30:00,0.2,0,24.4,22.0,23.2,17.4,0,0
2016-08-01 23:45:00,0.2,0,24.4,22.0,23.2,17.5,0,0
2016-08-02 00:00:00,0.2,0,24.3,22.0,23.15,17.6,0,0
2016-08-02 00:15:00,0.1,0,24.3,21.9,23.1,17.7,0,0
2016-08-02 00:30:00,0.1,0,24.3,21.9,23.1,17.7,0,0
2016-08-02 00:45:00,0.1,0,24.2,21.9,23.05,17.7,0,0
2016-08-02 01:00:00,0.2,0,24.2,21.9,23.05,17.8,0,0
2016-08-02 01:15:00,0.1,0,24.2,21.9,23.05,17.8,0,0
2016-08-02 01:30:00,0.2,0,24.1,21.8,22.95,17.8,0,0
2016-08-02 01:45:00,0.1,0,24.1,21.8,22.95,17.9,0,0
2016-08-02 02:00:00,0.2,0,24.1,21.8,22.95,17.9,0,0
2016-08-02 02:15:00,0.2,0,24.1,21.8,22.95,18.0,0,0
2016-08-02 02:30:00,0.1,0,24.1,21.8,22.95,18.0,0,0
2016-08-02 02:45:00,0.2,0,24.1,21.8,22.95,18.1,0,0
2016-08-02 03:00:00,0.1,0,24.1,21.8,22.95,18.2,0,0
2016-08-02 03:15:00,0.1,0,24.1,21.8,22.95,18.2,0,0
2016-08-02 03:30:00,0.1,0,24.1,21.8,22.95,18.3,0,0
2016-08-02 03:45:00,0.2,0,24.1,21.7,22.9,18.3,0,0
2016-08-02 04:00:00,0.1,0,24.1,21.7,22.9,18.3,0,0
2016-08-02 04:15:00,0.2,0,24.1,21.7,22.9,18.4,0,0
2016-08-02 04:30:00,0.1,0,24.0,21.7,22.85,18.4,0,0
2016-08-02 04:45:00,0.1,0,24.0,21.7,22.85,18.4,0,0
2016-08-02 05:00:00,0.1,0,24.0,21.7,22.85,18.5,0,0
2016-08-02 05:15:00,0.2,0,24.0,21.7,22.85,18.5,0,0
2016-08-02 05:30:00,0.1,0,24.0,21.7,22.85,18.5,0,0
2016-08-02 05:45:00,0.2,0,24.0,21.7,22.85,18.5,0,0
