;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y
0;269.15;-1.78e-15;0.0;292.50903
1;269.15;-1.78e-15;0.0;293.58307
2;269.15;-1.78e-15;0.0;294.6571
3;269.15;-1.78e-15;0.0;295.73114
4;269.15;-1.78e-15;0.0;296.80518
5;269.15;-1.78e-15;0.25;292.50903
6;269.15;-1.78e-15;0.25;293.58307
7;269.15;-1.78e-15;0.25;294.6571
8;269.15;-1.78e-15;0.25;295.73114
9;269.15;-1.78e-15;0.25;296.80518
10;269.15;-1.78e-15;0.5;292.50903
11;269.15;-1.78e-15;0.5;293.58307
12;269.15;-1.78e-15;0.5;294.6571
13;269.15;-1.78e-15;0.5;295.73114
14;269.15;-1.78e-15;0.5;296.80518
15;269.15;-1.78e-15;0.75;292.50903
16;269.15;-1.78e-15;0.75;293.58307
17;269.15;-1.78e-15;0.75;294.6571
18;269.15;-1.78e-15;0.75;295.73114
19;269.15;-1.78e-15;0.75;296.80518
20;269.15;-1.78e-15;1.0;292.50903
21;269.15;-1.78e-15;1.0;293.58307
22;269.15;-1.78e-15;1.0;294.6571
23;269.15;-1.78e-15;1.0;295.73114
24;269.15;-1.78e-15;1.0;296.80518
25;272.8;-1.78e-15;0.0;292.50903
26;272.8;-1.78e-15;0.0;293.58307
27;272.8;-1.78e-15;0.0;294.6571
28;272.8;-1.78e-15;0.0;295.73114
29;272.8;-1.78e-15;0.0;296.80518
30;272.8;-1.78e-15;0.25;292.50903
31;272.8;-1.78e-15;0.25;293.58307
32;272.8;-1.78e-15;0.25;294.6571
33;272.8;-1.78e-15;0.25;295.73114
34;272.8;-1.78e-15;0.25;296.80518
35;272.8;-1.78e-15;0.5;292.50903
36;272.8;-1.78e-15;0.5;293.58307
37;272.8;-1.78e-15;0.5;294.6571
38;272.8;-1.78e-15;0.5;295.73114
39;272.8;-1.78e-15;0.5;296.80518
40;272.8;-1.78e-15;0.75;292.50903
41;272.8;-1.78e-15;0.75;293.58307
42;272.8;-1.78e-15;0.75;294.6571
43;272.8;-1.78e-15;0.75;295.73114
44;272.8;-1.78e-15;0.75;296.80518
45;272.8;-1.78e-15;1.0;292.50903
46;272.8;-1.78e-15;1.0;293.58307
47;272.8;-1.78e-15;1.0;294.6571
48;272.8;-1.78e-15;1.0;295.73114
49;272.8;-1.78e-15;1.0;296.80518
50;276.45;-1.78e-15;0.0;292.50903
51;276.45;-1.78e-15;0.0;293.58307
52;276.45;-1.78e-15;0.0;294.6571
53;276.45;-1.78e-15;0.0;295.73114
54;276.45;-1.78e-15;0.0;296.80518
55;276.45;-1.78e-15;0.25;292.50903
56;276.45;-1.78e-15;0.25;293.58307
57;276.45;-1.78e-15;0.25;294.6571
58;276.45;-1.78e-15;0.25;295.73114
59;276.45;-1.78e-15;0.25;296.80518
60;276.45;-1.78e-15;0.5;292.50903
61;276.45;-1.78e-15;0.5;293.58307
62;276.45;-1.78e-15;0.5;294.6571
63;276.45;-1.78e-15;0.5;295.73114
64;276.45;-1.78e-15;0.5;296.80518
65;276.45;-1.78e-15;0.75;292.50903
66;276.45;-1.78e-15;0.75;293.58307
67;276.45;-1.78e-15;0.75;294.6571
68;276.45;-1.78e-15;0.75;295.73114
69;276.45;-1.78e-15;0.75;296.80518
70;276.45;-1.78e-15;1.0;292.50903
71;276.45;-1.78e-15;1.0;293.58307
72;276.45;-1.78e-15;1.0;294.6571
73;276.45;-1.78e-15;1.0;295.73114
74;276.45;-1.78e-15;1.0;296.80518
75;280.1;-1.78e-15;0.0;292.50903
76;280.1;-1.78e-15;0.0;293.58307
77;280.1;-1.78e-15;0.0;294.6571
78;280.1;-1.78e-15;0.0;295.73114
79;280.1;-1.78e-15;0.0;296.80518
80;280.1;-1.78e-15;0.25;292.50903
81;280.1;-1.78e-15;0.25;293.58307
82;280.1;-1.78e-15;0.25;294.6571
83;280.1;-1.78e-15;0.25;295.73114
84;280.1;-1.78e-15;0.25;296.80518
85;280.1;-1.78e-15;0.5;292.50903
86;280.1;-1.78e-15;0.5;293.58307
87;280.1;-1.78e-15;0.5;294.6571
88;280.1;-1.78e-15;0.5;295.73114
89;280.1;-1.78e-15;0.5;296.80518
90;280.1;-1.78e-15;0.75;292.50903
91;280.1;-1.78e-15;0.75;293.58307
92;280.1;-1.78e-15;0.75;294.6571
93;280.1;-1.78e-15;0.75;295.73114
94;280.1;-1.78e-15;0.75;296.80518
95;280.1;-1.78e-15;1.0;292.50903
96;280.1;-1.78e-15;1.0;293.58307
97;280.1;-1.78e-15;1.0;294.6571
98;280.1;-1.78e-15;1.0;295.73114
99;280.1;-1.78e-15;1.0;296.80518
100;283.75;-1.78e-15;0.0;292.50903
101;283.75;-1.78e-15;0.0;293.58307
102;283.75;-1.78e-15;0.0;294.6571
103;283.75;-1.78e-15;0.0;295.73114
104;283.75;-1.78e-15;0.0;296.80518
105;283.75;-1.78e-15;0.25;292.50903
106;283.75;-1.78e-15;0.25;293.58307
107;283.75;-1.78e-15;0.25;294.6571
108;283.75;-1.78e-15;0.25;295.73114
109;283.75;-1.78e-15;0.25;296.80518
110;283.75;-1.78e-15;0.5;292.50903
111;283.75;-1.78e-15;0.5;293.58307
112;283.75;-1.78e-15;0.5;294.6571
113;283.75;-1.78e-15;0.5;295.73114
114;283.75;-1.78e-15;0.5;296.80518
115;283.75;-1.78e-15;0.75;292.50903
116;283.75;-1.78e-15;0.75;293.58307
117;283.75;-1.78e-15;0.75;294.6571
118;283.75;-1.78e-15;0.75;295.73114
119;283.75;-1.78e-15;0.75;296.80518
120;283.75;-1.78e-15;1.0;292.50903
121;283.75;-1.78e-15;1.0;293.58307
122;283.75;-1.78e-15;1.0;294.6571
123;283.75;-1.78e-15;1.0;295.73114
124;283.75;-1.78e-15;1.0;296.80518
125;269.15;158.0;0.0;292.50903
126;269.15;158.0;0.0;293.58307
127;269.15;158.0;0.0;294.6571
128;269.15;158.0;0.0;295.73114
129;269.15;158.0;0.0;296.80518
130;269.15;158.0;0.25;292.50903
131;269.15;158.0;0.25;293.58307
132;269.15;158.0;0.25;294.6571
133;269.15;158.0;0.25;295.73114
134;269.15;158.0;0.25;296.80518
135;269.15;158.0;0.5;292.50903
136;269.15;158.0;0.5;293.58307
137;269.15;158.0;0.5;294.6571
138;269.15;158.0;0.5;295.73114
139;269.15;158.0;0.5;296.80518
140;269.15;158.0;0.75;292.50903
141;269.15;158.0;0.75;293.58307
142;269.15;158.0;0.75;294.6571
143;269.15;158.0;0.75;295.73114
144;269.15;158.0;0.75;296.80518
145;269.15;158.0;1.0;292.50903
146;269.15;158.0;1.0;293.58307
147;269.15;158.0;1.0;294.6571
148;269.15;158.0;1.0;295.73114
149;269.15;158.0;1.0;296.80518
150;272.8;158.0;0.0;292.50903
151;272.8;158.0;0.0;293.58307
152;272.8;158.0;0.0;294.6571
153;272.8;158.0;0.0;295.73114
154;272.8;158.0;0.0;296.80518
155;272.8;158.0;0.25;292.50903
156;272.8;158.0;0.25;293.58307
157;272.8;158.0;0.25;294.6571
158;272.8;158.0;0.25;295.73114
159;272.8;158.0;0.25;296.80518
160;272.8;158.0;0.5;292.50903
161;272.8;158.0;0.5;293.58307
162;272.8;158.0;0.5;294.6571
163;272.8;158.0;0.5;295.73114
164;272.8;158.0;0.5;296.80518
165;272.8;158.0;0.75;292.50903
166;272.8;158.0;0.75;293.58307
167;272.8;158.0;0.75;294.6571
168;272.8;158.0;0.75;295.73114
169;272.8;158.0;0.75;296.80518
170;272.8;158.0;1.0;292.50903
171;272.8;158.0;1.0;293.58307
172;272.8;158.0;1.0;294.6571
173;272.8;158.0;1.0;295.73114
174;272.8;158.0;1.0;296.80518
175;276.45;158.0;0.0;292.50903
176;276.45;158.0;0.0;293.58307
177;276.45;158.0;0.0;294.6571
178;276.45;158.0;0.0;295.73114
179;276.45;158.0;0.0;296.80518
180;276.45;158.0;0.25;292.50903
181;276.45;158.0;0.25;293.58307
182;276.45;158.0;0.25;294.6571
183;276.45;158.0;0.25;295.73114
184;276.45;158.0;0.25;296.80518
185;276.45;158.0;0.5;292.50903
186;276.45;158.0;0.5;293.58307
187;276.45;158.0;0.5;294.6571
188;276.45;158.0;0.5;295.73114
189;276.45;158.0;0.5;296.80518
190;276.45;158.0;0.75;292.50903
191;276.45;158.0;0.75;293.58307
192;276.45;158.0;0.75;294.6571
193;276.45;158.0;0.75;295.73114
194;276.45;158.0;0.75;296.80518
195;276.45;158.0;1.0;292.50903
196;276.45;158.0;1.0;293.58307
197;276.45;158.0;1.0;294.6571
198;276.45;158.0;1.0;295.73114
199;276.45;158.0;1.0;296.80518
200;280.1;158.0;0.0;292.50903
201;280.1;158.0;0.0;293.58307
202;280.1;158.0;0.0;294.6571
203;280.1;158.0;0.0;295.73114
204;280.1;158.0;0.0;296.80518
205;280.1;158.0;0.25;292.50903
206;280.1;158.0;0.25;293.58307
207;280.1;158.0;0.25;294.6571
208;280.1;158.0;0.25;295.73114
209;280.1;158.0;0.25;296.80518
210;280.1;158.0;0.5;292.50903
211;280.1;158.0;0.5;293.58307
212;280.1;158.0;0.5;294.6571
213;280.1;158.0;0.5;295.73114
214;280.1;158.0;0.5;296.80518
215;280.1;158.0;0.75;292.50903
216;280.1;158.0;0.75;293.58307
217;280.1;158.0;0.75;294.6571
218;280.1;158.0;0.75;295.73114
219;280.1;158.0;0.75;296.80518
220;280.1;158.0;1.0;292.50903
221;280.1;158.0;1.0;293.58307
222;280.1;158.0;1.0;294.6571
223;280.1;158.0;1.0;295.73114
224;280.1;158.0;1.0;296.80518
225;283.75;158.0;0.0;292.50903
226;283.75;158.0;0.0;293.58307
227;283.75;158.0;0.0;294.6571
228;283.75;158.0;0.0;295.73114
229;283.75;158.0;0.0;296.80518
230;283.75;158.0;0.25;292.50903
231;283.75;158.0;0.25;293.58307
232;283.75;158.0;0.25;294.6571
233;283.75;158.0;0.25;295.73114
234;283.75;158.0;0.25;296.80518
235;283.75;158.0;0.5;292.50903
236;283.75;158.0;0.5;293.58307
237;283.75;158.0;0.5;294.6571
238;283.75;158.0;0.5;295.73114
239;283.75;158.0;0.5;296.80518
240;283.75;158.0;0.75;292.50903
241;283.75;158.0;0.75;293.58307
242;283.75;158.0;0.75;294.6571
243;283.75;158.0;0.75;295.73114
244;283.75;158.0;0.75;296.80518
245;283.75;158.0;1.0;292.50903
246;283.75;158.0;1.0;293.58307
247;283.75;158.0;1.0;294.6571
248;283.75;158.0;1.0;295.73114
249;283.75;158.0;1.0;296.80518
250;269.15;316.0;0.0;292.50903
251;269.15;316.0;0.0;293.58307
252;269.15;316.0;0.0;294.6571
253;269.15;316.0;0.0;295.73114
254;269.15;316.0;0.0;296.80518
255;269.15;316.0;0.25;292.50903
256;269.15;316.0;0.25;293.58307
257;269.15;316.0;0.25;294.6571
258;269.15;316.0;0.25;295.73114
259;269.15;316.0;0.25;296.80518
260;269.15;316.0;0.5;292.50903
261;269.15;316.0;0.5;293.58307
262;269.15;316.0;0.5;294.6571
263;269.15;316.0;0.5;295.73114
264;269.15;316.0;0.5;296.80518
265;269.15;316.0;0.75;292.50903
266;269.15;316.0;0.75;293.58307
267;269.15;316.0;0.75;294.6571
268;269.15;316.0;0.75;295.73114
269;269.15;316.0;0.75;296.80518
270;269.15;316.0;1.0;292.50903
271;269.15;316.0;1.0;293.58307
272;269.15;316.0;1.0;294.6571
273;269.15;316.0;1.0;295.73114
