;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
0;271.75;0.0;1.0;292.5090411;0.0779400629827143
1;270.8584416;0.0;1.0;292.6616968;0.0722251309129755
2;270.15;0.0;1.0;292.7943294;0.0676219734583793
3;269.6842857;0.0;1.0;292.9103783;0.0644380122681657
4;269.45;0.0;1.0;293.0120681;0.0625992349909803
5;269.3966667;0.0;1.0;293.1075654;0.061784692485858
6;269.35;0.0;1.0;293.1896201;0.0610802066367187
7;269.2395833;0.0;0.984011242;293.258948;0.0570337745078724
8;269.15;0.0;0.947860462;293.3153404;0.0493100567107127
9;269.58875;0.0;0.895438733;293.310202;0.0416978824880908
10;270.15;0.0;0.847635035;293.3584114;0.0353487737580778
11;270.355;0.0;1.0;293.4123378;0.0653615989334315
12;270.45;0.0;1.0;293.4822535;0.065498884065395
13;270.45;0.0;1.0;293.5495946;0.0651303295591867
14;270.45;0.0;1.0;293.6137152;0.0647794006900295
15;270.45;0.0;1.0;293.6835449;0.0643972261992327
16;270.45;0.0;1.0;293.7611549;0.0639724705117426
17;270.4875;0.0;1.0;293.8358316;0.0637690042732797
18;270.65;0.0;1.0;293.9061284;0.0642736278218531
19;270.9;0.0;1.0;293.9921022;0.0651713350934342
20;271.15;0.0;1.0;294.0937047;0.0659835072636998
21;271.4;0.0;1.0;294.1910484;0.0668189876355101
22;271.65;0.0;1.0;294.2833731;0.0676819367458272
23;271.8675;0.0;1.0;294.3776348;0.0683564138601376
24;272.05;0.0;1.0;294.481469;0.0687869478887546
25;272.2033333;0.0;1.0;294.6120467;0.0689114881609134
26;272.25;0.0;1.0;294.7483778;0.0684207593390426
27;272.1729167;0.0;1.0;294.850265;0.0674412626534615
28;272.05;0.0;1.0;294.9228823;0.0663711147524474
29;271.89375;0.0;1.0;294.9359158;0.0654446345382583
30;271.75;0.0;1.0;294.9487347;0.0645877407003626
31;271.78125;0.0;0.359738652;294.9046915;-0.0576443363719155
32;271.85;0.0;0.0;294.7122385;-0.1251238993896564
33;271.73875;0.0;0.0;294.4164186;-0.1241137574651044
34;271.65;0.0;0.0;294.1041791;-0.1228906104966813
35;271.705;0.0;0.0;293.868519;-0.1212998421601079
36;271.85;0.0;0.0;293.6141903;-0.1191143359559711
37;272.05;0.0;0.0;293.372643;-0.1166977694442983
38;272.25;0.0;0.0;293.1438603;-0.1143510629564439
39;272.45;0.0;0.01328103;293.0217912;-0.110044370030561
40;272.65;0.0;0.057847116;292.9160415;-0.0998342376836723
41;272.9166667;0.0;0.133322137;292.8192502;-0.0833875631852133
42;273.15;0.0;0.237386656;292.7537521;-0.0618181751212806
43;273.0908333;0.0;0.359535924;292.7213689;-0.03856666852747
44;272.95;0.0;0.489744413;292.7262535;-0.0144223139032644
45;272.92375;0.0;0.616624137;292.7738811;0.0094775833147253
46;272.95;0.0;0.727078437;292.8609571;0.0303025676620868
47;273.0919643;0.0;0.809437507;292.9850787;0.0461763688122821
48;273.25;0.0;0.852707803;293.1315528;0.0545282114452529
49;273.297619;0.0;0.850918244;293.2820964;0.0536221143321248
50;273.35;0.0;0.803762151;293.4223965;0.0441080337713884
51;273.5266667;0.0;0.715028181;293.5405138;0.027431189879639
52;273.85;0.0;0.591968161;293.6263283;0.0051585696279707
53;274.3;0.0;0.444778938;293.6789267;-0.0208610476431283
54;274.75;0.0;0.283470993;293.6868227;-0.0493404982191018
55;275.1542857;0.0;0.122029379;293.6387903;-0.0777896522651446
56;275.55;0.0;0.0;293.5132651;-0.0983120605220756
57;275.9482143;0.0;0.0;293.2738827;-0.0948225253507065
58;276.25;0.0;0.0;293.0749384;-0.092082054852099
59;276.33;0.0;0.732465693;293.0191423;0.0489673470365066
60;276.35;0.0;1.0;293.1417724;0.0996527281563602
61;276.4283333;0.0;1.0;293.3516982;0.0989325289190705
62;276.55;0.0;1.0;293.588678;0.0983014260319795
63;276.8041667;0.0;1.0;293.8366958;0.0983350786572445
64;277.15;29.3710443;1.0;294.1174006;0.1076933149048143
65;277.5303571;75.0;1.0;294.469692;0.1218315179556559
66;277.95;106.8930686;1.0;294.8596287;0.131768852900226
67;278.6071429;129.0;1.0;295.2621884;0.1399376220467957
68;279.15;124.8192204;0.946215491;295.6531976;0.1291847324788962
69;279.1769231;100.0;0.77570575;295.9712433;0.0873230105277674
70;279.15;63.77934272;0.513430466;296.1458572;0.0248792245831798
71;279.2605769;30.0;0.205942597;296.1752255;-0.0439295002156343
72;279.35;9.137323944;0.0;296.0344426;-0.0885126734878016
73;279.4;0.0;0.0;295.7685572;-0.08958430314016
74;279.45;0.0;0.0;295.4963619;-0.0878209442153103
75;279.5;0.0;0.0;295.2870296;-0.0864016313770818
76;279.55;0.0;0.0;295.0748278;-0.0849666139074237
77;279.65;0.0;0.033161747;294.8687733;-0.0769393518001629
78;279.75;0.0;0.127832489;294.7339671;-0.0575197791609746
79;279.509375;0.0;0.0;294.5827386;-0.0824957726930421
80;279.25;0.0;0.0;294.3844887;-0.0828303073390077
81;279.278125;0.0;0.0;294.1965915;-0.0816480285337747
82;279.35;0.0;0.0;294.0224645;-0.0803016717674564
83;279.45;0.0;0.0;293.9276448;-0.0792354331949771
84;279.55;0.0;0.0;293.7934233;-0.0779535505219003
