;delta_reaTZon_y
1488;0.0133539112714322
1489;-0.0009965009238339
1490;-0.0206562917038826
1491;-0.0433479353841573
1492;-0.0670561218782288
1493;-0.0891748957950226
1494;-0.0963094039519079
1495;-0.0948182630168651
1496;-0.0930878877311775
1497;-0.0809952475360777
1498;-0.0585309882835076
1499;0.1016209144424596
1500;0.1021602299295959
1501;0.1012928701684793
1502;0.1003556093364158
1503;0.0992245387397324
1504;0.0984484666981908
1505;0.0986997906049141
1506;0.099301665199916
1507;0.0997506523756985
1508;0.1002216506637592
1509;0.0974460124082735
1510;0.0798208278603829
1511;0.0512665102497416
1512;0.0135694872337956
1513;-0.030188239176693
1514;-0.0755700067262559
1515;-0.0939122987048809
1516;-0.0924203630974272
1517;-0.0906637681920874
1518;-0.0888130998353734
1519;-0.0871238528695772
1520;-0.08561074570045
1521;-0.0846877128977741
1522;-0.0839727819226255
1523;-0.082815564304979
1524;-0.0814706567759507
1525;-0.0812029123758734
1526;-0.0810182780127498
1527;-0.0799794539965674
1528;-0.0791139222009141
1529;-0.079228297014834
1530;-0.0794392704994833
1531;-0.0737277457518958
1532;-0.0676239137014221
1533;-0.0597322181923062
1534;-0.0507447875893185
1535;-0.0434167835141595
1536;-0.0364488932873167
1537;-0.0297886642607577
1538;-0.0254126567726665
1539;-0.0239992943724935
1540;-0.0259135312406957
1541;-0.0312027467643914
1542;-0.0393187950423825
1543;-0.0492499362948562
1544;-0.0595177159954638
1545;-0.0688630918175012
1546;-0.0744655011744952
1547;0.0594893187709064
1548;0.1130572952240844
1549;0.1120514375251754
1550;0.1107156457424822
1551;0.1083582057041279
1552;0.1061254662953816
1553;0.1053321703313543
1554;0.1045399300994763
1555;0.0948638616427168
1556;0.0699099199416801
1557;0.0318365121324366
1558;-0.015122361052733
1559;-0.0669061864590445
1560;-0.0869248465384681
1561;-0.085937534479588
1562;-0.0843187966295383
1563;-0.0829667167988933
1564;-0.0818054935287834
1565;-0.0760558806305716
1566;-0.0640079862388133
1567;-0.0798080712884636
1568;-0.0793344974299024
1569;-0.0820281052426488
1570;-0.0858612448335348
1571;-0.0879622590807194
1572;-0.0891587183006707
1573;-0.0890357608057934
1574;-0.0880083205266291
1575;-0.0860880991786195
1576;-0.0844585139406996
1577;-0.0837180505569275
1578;-0.077080322225433
1579;-0.0673761835529081
1580;-0.0551233912809331
1581;-0.0396565804567506
1582;-0.0247477053834132
1583;-0.0143059536944603
1584;-0.0076548261298357
1585;-0.0053899784529937
1586;-0.0084472827074466
1587;-0.016614854627489
1588;-0.0288238059663915
1589;-0.0443251732188831
1590;-0.0611266360838193
1591;-0.0762942297862044
1592;-0.0870323054311371
1593;-0.0874242872029285
1594;-0.079585589064607
1595;-0.0641842075550796
1596;-0.0447602856442318
1597;-0.0241619607501879
1598;-0.004735142471847
1599;0.0116751130437924
1600;0.0209490365417959
1601;0.0190912154218987
1602;0.0064760188444631
