TDryBul;TDryBul-1;HDirNor;Daily_Sin;Daily_Cos;Weekly_Sin;Weekly_Cos;oveHeaPumY_u;oveHeaPumY_u-1;oveHeaPumY_u-2;reaTZon_y;reaTZon_y-1;reaTZon_y-2;delta_reaTZon_y
271.75;273.1772727;0;0.707106781;0.707106781;0.111964476;0.99371221;1;1;1;292.5090411;292.3426095;292.1483159;0.152655693
270.8584416;271.75;0;0.79335334;0.608761429;0.130526192;0.991444861;1;1;1;292.6616968;292.5090411;292.3426095;0.13263261
270.15;270.8584416;0;0.866025404;0.5;0.149042266;0.988830826;1;1;1;292.7943294;292.6616968;292.5090411;0.116048869
269.6842857;270.15;0;0.923879533;0.382683432;0.167506223;0.985871019;1;1;1;292.9103783;292.7943294;292.6616968;0.101689867
269.45;269.6842857;0;0.965925826;0.258819045;0.185911607;0.982566473;1;1;1;293.0120681;292.9103783;292.7943294;0.095497286
269.3966667;269.45;0;0.991444861;0.130526192;0.204251982;0.978918346;1;1;1;293.1075654;293.0120681;292.9103783;0.082054663
269.35;269.3966667;0;1;-1.61E-16;0.222520934;0.974927912;1;1;1;293.1896201;293.1075654;293.0120681;0.069327871
269.2395833;269.35;0;0.991444861;-0.130526192;0.240712075;0.970596567;0.984011242;1;1;293.258948;293.1896201;293.1075654;0.056392407
269.15;269.2395833;0;0.965925826;-0.258819045;0.258819045;0.965925826;0.947860462;0.984011242;1;293.3153404;293.258948;293.1896201;-0.005138315
269.58875;269.15;0;0.923879533;-0.382683432;0.276835511;0.960917322;0.895438733;0.947860462;0.984011242;293.310202;293.3153404;293.258948;0.048209377
270.15;269.58875;0;0.866025404;-0.5;0.294755174;0.955572806;0.847635035;0.895438733;0.947860462;293.3584114;293.310202;293.3153404;0.053926407
270.355;270.15;0;0.79335334;-0.608761429;0.312571768;0.949894147;1;0.847635035;0.895438733;293.4123378;293.3584114;293.310202;0.069915709
270.45;270.355;0;0.707106781;-0.707106781;0.330279062;0.94388333;1;1;0.847635035;293.4822535;293.4123378;293.3584114;0.067341102
270.45;270.45;0;0.608761429;-0.79335334;0.347870865;0.937542459;1;1;1;293.5495946;293.4822535;293.4123378;0.06412057
270.45;270.45;0;0.5;-0.866025404;0.365341024;0.930873749;1;1;1;293.6137152;293.5495946;293.4822535;0.069829715
270.45;270.45;0;0.382683432;-0.923879533;0.382683432;0.923879533;1;1;1;293.6835449;293.6137152;293.5495946;0.077609952
270.45;270.45;0;0.258819045;-0.965925826;0.399892024;0.916562256;1;1;1;293.7611549;293.6835449;293.6137152;0.074676723
270.4875;270.45;0;0.130526192;-0.991444861;0.416960783;0.908924477;1;1;1;293.8358316;293.7611549;293.6835449;0.07029683
270.65;270.4875;0;-3.22E-16;-1;0.433883739;0.900968868;1;1;1;293.9061284;293.8358316;293.7611549;0.085973806
270.9;270.65;0;-0.130526192;-0.991444861;0.450654976;0.892698209;1;1;1;293.9921022;293.9061284;293.8358316;0.10160245
271.15;270.9;0;-0.258819045;-0.965925826;0.467268628;0.884115394;1;1;1;294.0937047;293.9921022;293.9061284;0.097343694
271.4;271.15;0;-0.382683432;-0.923879533;0.483718887;0.875223422;1;1;1;294.1910484;294.0937047;293.9921022;0.092324699
