t_amb;rad_dir;u_hp;t_room;Change(T Room)
274.15;0.0;1.0;294.15;0.09383983774269722
274.15;0.0;1.0;294.24383983774266;0.09291102028648261
274.15;0.0;1.0;294.3367508580291;0.09199330671055131
274.15;0.0;1.0;294.42874416473967;0.09108651770198514
274.15;0.0;1.0;294.51983068244164;0.09019047804799861
274.15;0.0;1.0;294.6100211604896;0.08930501650952066
274.15;0.0;1.0;294.69932617699914;0.08842996569966174
274.15;0.0;1.0;294.7877561426988;0.08756516196683996
273.86022727272723;0.0;1.0;294.87532130466565;0.0837105454237318
273.1772727272727;0.0;1.0;294.9590318500894;0.07592002531642027
272.3806818181818;0.0;1.0;295.0349518754058;0.06719941343066396
271.75;0.0;1.0;295.10215128883647;0.06034237834939301
271.29521103896104;0.0;1.0;295.16249366718586;0.05534929000533837
270.85844155844154;0.0;1.0;295.2178429571912;0.050625072805019586
270.4674512987013;0.0;1.0;295.2684680299962;0.046424211655397694
270.15;0.0;1.0;295.3148922416516;0.04299176439703971
269.8954464285714;0.0;1.0;295.3578840060486;0.04020501829823713
269.6842857142857;0.0;1.0;295.39808902434686;0.037864730471753455
269.5309821428571;0.0;1.0;295.4359537548186;0.0360960797268155
269.45;0.0;1.0;295.47204983454543;0.035023118093438194
269.418125;0.0;1.0;295.50707295263885;0.03441910358894508
269.39666666666665;0.0;1.0;295.5414920562278;0.03391801979222043
269.376875;0.0;1.0;295.57541007602003;0.033437288046476873
269.35;0.0;1.0;295.6088473640665;0.03289537407995356
269.30234375;0.0;0.0;295.64174273814643;-0.14415422658533017
269.2395833333333;0.0;0.2222328911833087;295.4975885115611;-0.08168163418834065
269.18203125;0.0;0.3677215408717695;295.4159068773728;-0.045804136255072216
269.15;0.0;0.4689071104210143;295.3701027411177;-0.024065113744761207
269.27859375;0.0;0.5424822852133331;295.34603762737294;-0.008851159937643474
269.58875;0.0;0.5950748471281765;295.3371864674353;0.0029552792414152835
269.92953125;0.0;0.6293439615089162;295.3401417466767;0.011426462091015607
270.15;0.0;0.648533113334761;295.35156820876773;0.016213696721650284
270.25875;0.0;0.6571739531263451;295.3677819054894;0.018324166607857705
270.355;0.0;0.6588432996393226;295.3861060720972;0.019310890779888103
270.42375;0.0;0.6550218364245778;295.4054169628771;0.01925846913299821
270.45;0.0;0.6472791697833318;295.4246754320101;0.01823413578296502
270.45;0.0;0.6372859134275732;295.44290956779304;0.016616245636133533
270.45;0.0;0.6262684258906647;295.4595258134292;0.01482307927048163
270.45;0.0;0.6148620483615203;295.47434889269965;0.012943097560702102
270.45;0.0;0.6035874615959289;295.4872919902604;0.011055565741201702
270.45;0.0;0.5928480165979134;295.4983475560016;0.009228089224431376
270.45;0.0;0.5829331832284518;295.50757564522604;0.007514478075659788
270.45;0.0;0.574028067289509;295.5150901233017;0.005953673674332344
270.45;0.0;0.5662276257278753;295.5210437969761;0.004569979436887487
270.4578125;0.0;0.5595535759470782;295.52561377641297;0.003447508063459486
270.48749999999995;0.0;0.5538472123209459;295.5290612844764;0.0026946661298471106
270.5484375;0.0;0.5487104501682498;295.5317559506063;0.0023300452850073938
270.65;0.0;0.5436366868005318;295.5340859958913;0.0023497122630457196
270.775;0.0;0.0;295.5364357081544;-0.13551811167968358
270.9;0.0;0.0;295.40091759647464;-0.1340923089528421
271.025;0.0;0.0;295.2668252875218;-0.13267430957373272
271.15;0.0;0.0;295.134150977948;-0.13126407083501926
271.275;0.0;0.0;295.002886907113;-0.1298615502631013
271.4;0.0;0.0;294.8730253568499;-0.1284667056168339
271.525;0.0;0.0;294.74455865123304;-0.127079494886256
271.65;0.0;0.0;294.6174791563468;-0.12569987629132529
271.76593749999995;0.0;0.0;294.4917792800555;-0.12437740689447019
271.86749999999995;0.0;0.0;294.367401873161;-0.12314084897043422
271.9603125;0.0;0.0;294.24426102419056;-0.12195894698347703
272.04999999999995;0.0;0.0;294.1223020772071;-0.12080061645785804
272.135;0.0;0.0;294.00150146074924;-0.11967427987327518
272.2033333333333;0.0;0.0;293.881827180876;-0.11864532351454629
272.245;0.0;0.0;293.7631818573614;-0.11776794392941106
272.25;0.0;0.0;293.645413913432;-0.11709604105058746
272.22109375;0.0;0.0;293.52831787238136;-0.11661338269048792
272.17291666666665;0.0;0.0;293.41170448969086;-0.11623883421242168
272.11328125;0.0;0.0;293.29546565547844;-0.11592904651065715
272.04999999999995;0.0;0.0;293.1795366089678;-0.11564090772697333
271.97734375;0.0;0.0;293.0638957012408;-0.11540565482342531
271.89374999999995;0.0;0.0;292.9484900464174;-0.11523154984335028
271.81328125;0.0;0.0;292.83325849657405;-0.11504129476093089
271.75;0.0;1.0;292.7182172018131;0.08283152995194372
271.73984375;0.0;1.0;292.80104873176504;0.08192736657864455
271.78125;0.0;1.0;292.8829760983437;0.08156278508967034
271.83203125;0.0;1.0;292.96453888343336;0.0812981849060819
271.85;0.0;1.0;293.04583706833944;0.08069989505942493
271.80984375;0.0;1.0;293.12653696339885;0.07951363400462023
271.73875;0.0;1.0;293.2060505974035;0.07802649010659381
271.67328125;0.0;1.0;293.28407708751007;0.07661544837554367
271.65;0.0;1.0;293.3606925358856;0.07564950582764488
271.668125;0.0;1.0;293.43634204171326;0.07511372867185526
271.705;0.0;1.0;293.5114557703851;0.07477328569616182
271.764375;0.0;1.0;293.58622905608127;0.07466382028391565
271.85;0.0;1.0;293.66089287636515;0.07482091924168931
271.95;0.0;1.0;293.73571379560684;0.07512208826565972
272.04999999999995;0.0;0.99750071125301;293.8108358838725;0.07542655420659856
