$T_{amb}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heat}$ in kW
-1.6999878;3.338178236;24.61825301
-1.1000122;4.37752391;33.21293959
-0.5000061;2.644189463;20.2326065
-0.1999878;2.500954787;19.02148738
-0.100012206;2.480032795;18.98284396
-0.100012206;2.464633058;19.45389622
0.7000061;2.682318394;21.1500062
1.3999878;2.398705095;19.49347136
1.8000122;2.601776467;21.35377885
2.3999877;2.412763912;19.99857463
2.4999938;2.285142482;19.05026203
2.700006;2.523319045;20.82755343
3.200006;1.963208877;16.55506699
3.1;2.415330124;20.46781342
2.800012;2.668900933;22.34943266
2.800012;2.513548129;21.07583113
2.6;2.755267614;22.67201724
2.200006;2.501012612;20.76894573
1.9999939;2.528151145;20.75886188
2.200006;2.791374627;23.35718877
2.1;2.807902014;23.91115043
2.4999938;1.917256943;15.8886116
2.300012;2.351367454;19.33659405
2.300012;2.328112286;19.50725283
2.1;2.368473935;19.06949749
2.1;2.224608972;18.69695676
2.1;2.157859707;17.8199319
2.300012;2.233933105;18.59649196
2.3999877;2.142024493;17.52618321
2.6;2.177870733;17.92594714
2.700006;2.208360825;18.50631905
2.9999938;2.085985558;17.57560786
3.1;2.099520917;18.00886103
3.4999938;2.030628978;17.85095351
3.700006;1.795353306;15.55395115
3.700006;1.9662001;16.92964107
4.1;2.09800414;18.02760179
4.300012;1.821004118;15.73894403
3.9999938;2.24790557;19.6472518
4.499994;2.331676444;20.64598768
4.8999877;2.266054664;20.48913859
4.6;2.279612589;20.53163275
4.6;2.250325265;20.34250042
4.999994;2.289398732;19.99028084
5.200006;2.659611462;24.08961151
4.8999877;2.735483675;24.54110296
4.999994;2.742582699;24.9354641
4.999994;2.743241345;24.30468204
4.999994;2.742432484;25.05127726
4.999994;2.742321945;24.60237782
4.800012;2.766504586;24.89312389
4.800012;2.771080191;24.53279128
4.8999877;2.762097476;24.80284118
4.8999877;2.763781245;25.03199896
4.800012;2.736488095;24.35329887
4.700006;2.105842983;18.58119871
4.6;1.860793567;16.4469596
4.6;1.833742383;16.16016101
4.499994;1.767554538;15.7164405
4.300012;1.87344622;16.50767766
4.3999877;2.063049077;18.30065062
4.6;1.85626499;16.494947
4.999994;1.909144316;17.25970041
5.200006;1.755102108;16.15044595
5.499994;1.54322157;13.97556168
5.300012;1.764379536;16.00508528
4.6;1.804798601;16.29906666
4.3999877;1.680649353;14.69895669
3.800012;1.849469814;16.17850926
2.9999938;1.504494689;12.72543312
1.8999878;1.649265517;13.44273032
1.1;1.863203915;14.97728994
0.9999939;1.861893793;14.76161487
2.800012;1.76963877;15.11839292
2.9999938;1.766641299;14.88068858
